,League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Goals_H,Goals_A,Back_Home,Back_Draw,Back_Away,Lay_Home,Lay_Draw,Lay_Away,Lay_0x1,Lay_0x2,Lay_1x0,Lay_0x0,Lay_Gol_H,Lay_Gol_A,Under45,over15,over25,under25,Lay_1x3,Lay_3x1,Lay_0x3,Lay_3x0,Lay_3x2,Lay_2x3
20,SWITZERLAND - CHALLENGE LEAGUE,2024-09-20,14:30:00,Lausanne Ouchy,Wil,2.26,2.38,3.1,3.35,3.7,4.0,2.24,2.32,1.76,1.8,1.62,1.75,2.32,2.6,13.0,22.0,11.0,19.0,17.0,29.0,3.95,65.0,9.4,15.5,7.4,11.0,10.0,17.0,3.85,40.0,12.0,20.0,8.4,14.0,13.5,20.0,3.95,48.0,3.8,38.0,16.5,28.0,3.85,40.0,4.0,95.0,3.4,18.0,3.75,32.0,4.2,980.0,33591735,5805890.0,179085.0,58805.0,1.233061801,1.233061846,1.233061885,1.23306181,0.0,0.0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1
21,FRANCE - NATIONAL,2024-09-20,14:30:00,Nancy,Dijon,2.54,2.8,2.8,3.15,3.25,3.7,1.85,1.99,2.02,2.18,1.8,1.94,2.06,2.26,10.5,980.0,10.0,980.0,5.4,980.0,6.4,980.0,8.8,12.0,6.6,14.0,10.5,980.0,6.2,980.0,5.3,980.0,10.0,980.0,5.4,980.0,6.6,980.0,6.4,980.0,6.2,980.0,6.6,980.0,7.0,980.0,5.9,980.0,6.0,980.0,7.4,1000.0,33586272,70468.0,305995.0,58805.0,1.233252711,1.233252714,1.233252758,1.233252759,0.0,1.0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
22,BELGIUM - CHALLENGER PRO LEAGUE,2024-09-20,15:00:00,Lommel SK,Anderlecht U23,1.69,1.77,4.7,5.3,4.2,4.9,2.46,2.6,1.63,1.68,1.63,1.84,2.18,2.6,15.5,27.0,16.0,28.0,4.8,55.0,4.9,980.0,9.4,13.0,8.4,11.5,15.5,24.0,4.7,70.0,9.8,15.0,9.0,11.5,15.0,23.0,4.7,65.0,13.5,23.0,13.0,18.0,5.1,34.0,4.8,980.0,3.15,8.6,4.6,60.0,5.0,980.0,33589925,65803.0,50943987.0,58805.0,1.233043252,1.233043297,1.233043336,1.233043261,2.0,1.0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
23,HUNGARY - OTP BANK LIGA,2024-09-20,15:00:00,MTK Budapest,Ferencvaros,5.9,7.0,1.59,1.65,4.1,4.7,2.22,2.36,1.74,1.81,1.81,1.94,2.06,2.22,14.0,24.0,6.4,980.0,7.8,980.0,10.0,980.0,15.0,980.0,8.4,980.0,8.8,10.5,12.5,980.0,8.4,980.0,6.6,980.0,15.0,980.0,7.4,980.0,9.2,980.0,8.6,980.0,8.6,980.0,8.8,980.0,4.2,980.0,4.4,8.4,9.4,1000.0,33586385,473659.0,198748.0,58805.0,1.232997505,1.23299755,1.232997589,1.232997514,1.0,3.0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
24,NETHERLANDS - EERSTE DIVISIE,2024-09-20,15:00:00,Den Bosch,FC Emmen,2.52,2.64,2.88,3.05,3.55,3.75,2.14,2.22,1.82,1.87,1.67,1.75,2.32,2.48,11.5,19.5,10.5,17.0,18.0,25.0,4.4,55.0,9.6,16.0,7.6,10.5,9.8,16.0,21.0,36.0,16.0,22.0,10.5,15.0,14.0,19.5,4.3,48.0,23.0,44.0,18.5,32.0,4.3,44.0,36.0,95.0,3.65,22.0,3.75,27.0,4.3,980.0,33595931,48452.0,419126.0,58805.0,1.233126404,1.233126449,1.233126489,1.233126413,1.0,0.0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1
25,FRANCE - LIGUE 2,2024-09-20,15:00:00,Troyes,Rodez,2.8,2.86,2.76,2.84,3.45,3.5,1.98,2.04,1.98,2.02,1.79,1.84,2.2,2.26,11.5,14.5,10.0,12.0,15.5,19.5,6.8,46.0,9.8,13.0,7.0,8.4,11.0,13.5,21.0,34.0,15.5,21.0,11.0,13.0,15.0,19.5,6.8,48.0,27.0,46.0,20.0,34.0,6.8,48.0,7.4,110.0,15.5,28.0,16.0,27.0,50.0,980.0,33586431,4864974.0,1029663.0,58805.0,1.232996964,1.232997009,1.232997048,1.232996973,0.0,3.0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
26,FRANCE - LIGUE 2,2024-09-20,15:00:00,Bastia,Paris FC,3.4,3.5,2.48,2.52,3.2,3.3,1.7,1.72,2.38,2.44,2.0,2.02,1.98,2.0,8.4,10.0,7.8,9.0,12.0,15.0,26.0,38.0,9.2,11.5,6.2,7.6,11.0,13.5,24.0,34.0,18.0,25.0,12.5,15.5,18.0,24.0,7.8,60.0,42.0,70.0,34.0,55.0,8.2,75.0,8.8,160.0,7.8,60.0,7.0,32.0,55.0,1000.0,33589144,44791.0,5168454.0,58805.0,1.233043762,1.233043772,1.233043761,1.233043771,2.0,1.0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
27,NETHERLANDS - EREDIVISIE,2024-09-20,15:00:00,Zwolle,AZ Alkmaar,7.6,8.0,1.45,1.47,5.3,5.5,2.52,2.6,1.62,1.65,1.85,1.91,2.1,2.18,21.0,23.0,9.8,10.5,8.8,9.6,11.5,13.0,27.0,32.0,11.0,12.0,9.2,9.6,13.0,14.0,44.0,70.0,25.0,28.0,21.0,23.0,26.0,29.0,24.0,290.0,50.0,95.0,50.0,85.0,60.0,110.0,80.0,100.0,5.3,5.6,25.0,1000.0,33568190,8750569.0,9220660.0,58805.0,1.232787837,1.232787847,1.232787836,1.232787846,1.0,2.0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
28,ROMANIA - LIGA 1,2024-09-20,15:00:00,Otelul,Din. Bucuresti,2.64,2.7,3.4,3.6,2.96,3.0,1.55,1.56,2.8,2.82,2.06,2.36,1.73,1.94,7.0,7.8,8.8,10.0,18.5,23.0,10.5,70.0,7.2,8.0,6.2,7.0,14.5,17.0,36.0,55.0,13.5,15.5,12.0,13.5,21.0,24.0,11.0,90.0,30.0,42.0,34.0,42.0,11.0,75.0,12.0,210.0,24.0,46.0,11.0,75.0,12.5,1000.0,33559487,866238.0,46937.0,58805.0,1.232695429,1.232695474,1.232695513,1.232695438,1.0,1.0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
29,FRANCE - LIGUE 2,2024-09-20,15:00:00,Dunkerque,Pau FC,2.86,2.92,2.86,2.9,3.25,3.35,1.79,1.81,2.24,2.28,1.88,1.95,2.06,2.14,10.0,11.0,9.6,10.5,16.0,18.0,40.0,44.0,9.8,10.5,6.8,7.4,11.5,13.0,30.0,36.0,15.5,18.0,11.5,12.5,17.5,19.0,40.0,55.0,38.0,44.0,30.0,34.0,46.0,70.0,28.0,120.0,15.5,34.0,27.0,34.0,29.0,1000.0,33586432,2250259.0,4364244.0,58805.0,1.232996874,1.232996919,1.232996958,1.232996883,3.0,2.0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1
