Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
32,lSR1xDN8,05/08/2023,10:00,NORWAY - OBOS-LIGAEN,Jerv,Moss,ROUND 16,2.25,3.5,3.1,1.33,3.25,1.04,13.0,1.2,4.33,1.7,2.1,2.63,1.44,5.0,1.17,1.62,2.2,2.15,1.68,1.38,3.0,13.0,12.0,17.0,34.0,9.5,7.0,11.0,23.0,12.0,9.0,12.0,29.0,21.0,17.0,23.0,41.0,151.0
33,bT1Zy3Th,05/08/2023,10:00,SWEDEN - SUPERETTAN,Gefle,Brage,ROUND 17,3.1,3.4,2.1,1.33,3.25,1.04,12.0,1.22,4.0,1.75,2.05,2.75,1.4,5.5,1.14,1.62,2.2,3.1,1.35,1.7,2.1,12.0,9.0,11.0,21.0,12.0,6.5,9.0,17.0,17.0,12.0,13.0,23.0,34.0,23.0,29.0,41.0,151.0
34,A3Har5jP,05/08/2023,10:00,SWEDEN - SUPERETTAN,Jonkoping,Utsikten,ROUND 17,2.63,3.3,2.4,1.36,3.0,1.04,13.0,1.25,3.75,1.83,2.03,3.0,1.36,6.0,1.13,1.67,2.1,2.68,1.45,1.55,2.38,12.0,9.5,13.0,23.0,10.0,6.5,9.5,19.0,15.0,10.0,13.0,26.0,29.0,21.0,26.0,41.0,151.0
35,8bwHJLDO,05/08/2023,10:00,SWEDEN - SUPERETTAN,Landskrona,Ostersund,ROUND 17,2.15,3.3,3.1,1.36,3.0,1.05,11.0,1.25,3.75,1.85,2.0,3.0,1.36,6.0,1.13,1.7,2.05,2.15,1.68,1.35,3.1,11.0,11.0,17.0,34.0,8.5,6.5,11.0,23.0,11.0,9.0,13.0,29.0,21.0,17.0,26.0,41.0,201.0
36,O61sebz1,05/08/2023,10:00,FINLAND - YKKONEN,SJK Akatemia,Mikkeli,-,2.63,3.6,2.3,1.29,3.5,1.03,17.0,1.17,5.0,1.53,2.4,2.25,1.57,4.0,1.22,1.5,2.5,2.68,1.45,1.6,2.3,17.0,12.0,15.0,23.0,13.0,7.5,9.5,17.0,17.0,11.0,11.0,21.0,29.0,19.0,23.0,34.0,101.0
37,ht6ofIk7,05/08/2023,10:00,FINLAND - YKKONEN,SalPa,TPS,-,3.5,3.5,1.91,1.33,3.25,1.04,13.0,1.2,4.33,1.7,2.1,2.63,1.44,5.0,1.17,1.62,2.2,3.45,1.3,1.85,2.0,13.0,9.0,11.0,17.0,13.0,7.0,9.0,15.0,21.0,12.0,13.0,21.0,41.0,26.0,29.0,41.0,151.0
38,WW4kgx5D,05/08/2023,10:00,FINLAND - YKKONEN,Gnistan,KPV Kokkola,-,1.5,4.0,6.0,1.36,3.0,1.04,12.0,1.25,3.75,1.8,2.0,3.0,1.36,6.0,1.13,1.83,1.83,1.53,2.43,1.14,5.75,12.0,15.0,29.0,67.0,7.0,8.0,19.0,41.0,7.5,8.5,17.0,41.0,11.0,13.0,26.0,51.0,301.0
39,445cor7i,05/08/2023,10:00,POLAND - DIVISION 1,Legnica,Leczna,ROUND 3,1.8,3.5,4.0,1.36,3.0,1.05,11.0,1.29,3.5,1.93,1.93,3.25,1.33,6.5,1.11,1.8,1.91,1.83,2.03,1.23,4.0,11.0,12.0,21.0,41.0,7.5,7.0,15.0,34.0,8.5,8.5,15.0,41.0,15.0,15.0,26.0,51.0,251.0
40,zNrvJOMm,05/08/2023,10:00,NORWAY - OBOS-LIGAEN,Kristiansund,Start,ROUND 16,1.8,3.8,4.33,1.22,4.0,1.02,21.0,1.11,6.5,1.44,2.7,2.0,1.73,3.4,1.3,1.44,2.63,1.78,2.1,1.23,4.0,21.0,21.0,29.0,41.0,13.0,8.0,15.0,29.0,12.0,9.0,11.0,26.0,17.0,12.0,17.0,29.0,81.0
41,IV7VjYW7,05/08/2023,10:00,BELARUS - VYSSHAYA LIGA,Belshina,Smorgon,ROUND 16,2.58,3.48,2.6,1.36,2.99,1.01,9.8,1.24,3.48,1.85,1.95,2.93,1.33,5.45,1.1,1.65,2.18,,,,,,,,,,,,,,,,,,,,,
42,YJixdI5O,05/08/2023,11:00,SCOTLAND - CHAMPIONSHIP,Partick Thistle,Raith,ROUND 1,1.73,3.8,4.0,1.4,2.75,1.02,11.0,1.29,3.5,1.95,1.9,3.4,1.3,6.0,1.11,1.83,1.83,1.75,2.13,1.23,4.0,11.0,12.0,21.0,41.0,7.0,7.5,15.0,34.0,8.0,9.0,17.0,41.0,13.0,15.0,29.0,51.0,151.0
43,pzXbrayP,05/08/2023,11:00,SCOTLAND - LEAGUE ONE,Falkirk,Annan,ROUND 1,1.44,3.8,7.0,1.29,3.5,1.01,15.0,1.17,4.5,1.57,2.35,2.25,1.57,4.0,1.22,1.73,2.0,,,,,15.0,21.0,41.0,67.0,9.0,8.0,21.0,41.0,8.0,9.0,15.0,41.0,11.0,12.0,23.0,41.0,151.0
44,WW6KAPGg,05/08/2023,11:00,BELGIUM - JUPILER PRO LEAGUE,Genk,Eupen,ROUND 2,1.33,5.25,8.5,1.25,3.75,1.02,19.0,1.13,6.0,1.44,2.7,2.1,1.67,3.5,1.29,1.75,2.0,1.33,3.3,,,19.0,23.0,41.0,101.0,9.5,10.0,23.0,51.0,7.5,9.0,19.0,41.0,9.0,10.0,21.0,51.0,201.0
45,63Et6tRm,05/08/2023,11:00,ARMENIA - PREMIER LEAGUE,Van,Shirak Gyumri,ROUND 2,2.64,3.2,2.53,1.43,2.62,1.03,8.0,1.33,2.93,2.11,1.71,3.65,1.22,7.1,1.05,1.81,1.95,,,,,7.0,6.5,10.0,20.0,7.0,5.0,7.5,18.0,11.0,8.5,11.0,26.0,23.0,19.0,26.0,61.0,201.0
46,n3gUcvyC,05/08/2023,11:00,SCOTLAND - CHAMPIONSHIP,Morton,Ayr,ROUND 1,2.38,3.4,2.63,1.4,2.75,1.05,8.5,1.29,3.5,1.95,1.9,3.25,1.33,6.0,1.11,1.73,2.0,2.35,1.58,1.43,2.75,11.0,9.5,13.0,26.0,8.5,6.5,11.0,21.0,12.0,10.0,15.0,29.0,23.0,19.0,29.0,51.0,151.0
47,M30natOu,05/08/2023,11:00,NORTHERN IRELAND - NIFL PREMIERSHIP,Glenavon,Glentoran,ROUND 1,6.42,4.45,1.45,1.32,3.2,1.01,11.6,1.2,3.9,1.72,2.12,2.67,1.39,4.8,1.13,1.83,1.93,,,,,10.0,6.0,6.0,8.5,14.0,7.0,6.0,9.0,26.0,15.0,13.0,19.0,91.0,46.0,46.0,61.0,201.0
48,IN1D1Mym,05/08/2023,11:00,SCOTLAND - LEAGUE ONE,Queen of South,Alloa,ROUND 1,1.85,3.8,3.25,1.33,3.25,1.03,10.0,1.22,4.0,1.73,2.08,2.75,1.4,4.5,1.17,1.67,2.1,1.95,1.9,1.33,3.3,13.0,12.0,19.0,41.0,8.5,8.0,12.0,26.0,10.0,9.0,15.0,29.0,17.0,15.0,23.0,41.0,151.0
49,dE0H0tig,05/08/2023,11:00,SCOTLAND - LEAGUE ONE,Stirling,Edinburgh City,ROUND 1,1.75,3.8,3.75,1.33,3.25,1.01,13.0,1.22,4.0,1.7,2.1,2.75,1.4,4.5,1.17,1.73,2.0,,,,,13.0,13.0,21.0,41.0,8.5,8.0,13.0,29.0,9.5,8.5,15.0,34.0,15.0,13.0,23.0,41.0,151.0
50,zJ6hb0Us,05/08/2023,11:00,ICELAND - BESTA DEILD KARLA,Vestmannaeyjar,Stjarnan,ROUND 18,2.66,3.62,2.47,1.3,3.34,1.02,14.3,1.16,4.5,1.61,2.34,2.35,1.51,4.05,1.18,1.5,2.51,,,,,13.0,9.5,12.0,21.0,10.0,6.0,7.5,13.0,13.0,8.0,8.5,15.0,23.0,14.0,17.0,26.0,151.0
51,0xCj4NtG,05/08/2023,11:00,NORTHERN IRELAND - NIFL PREMIERSHIP,Newry City,Loughgall,ROUND 1,2.26,3.78,2.76,1.3,3.32,12.0,1.05,1.21,3.74,1.74,2.09,2.78,1.36,5.05,1.12,1.59,2.29,,,,,10.0,9.0,12.0,23.0,8.0,5.5,8.0,15.0,10.0,7.5,9.0,20.0,20.0,13.0,18.0,34.0,201.0
52,rRvZ9qnR,05/08/2023,11:00,NORTHERN IRELAND - NIFL CHAMPIONSHIP,Annagh,Dundela,ROUND 1,2.22,3.48,2.92,1.32,3.1,1.01,9.8,1.21,3.74,1.74,2.07,2.71,1.38,5.5,1.11,1.58,2.31,,,,,9.5,8.5,12.0,23.0,8.0,5.5,8.5,17.0,12.0,8.5,11.0,21.0,21.0,15.0,23.0,56.0,101.0
53,neqf53fr,05/08/2023,11:00,NORTHERN IRELAND - NIFL CHAMPIONSHIP,Ards,Newington,ROUND 1,1.83,3.96,3.56,1.21,3.9,1.01,12.5,1.14,4.9,1.4,2.64,2.09,1.72,3.28,1.27,1.41,2.81,,,,,15.0,17.0,23.0,61.0,9.0,7.5,13.0,23.0,9.0,7.0,10.0,23.0,12.0,9.5,13.0,31.0,101.0
54,z5qW69gU,05/08/2023,11:00,SCOTLAND - LEAGUE TWO,Bonnyrigg Rose,Dumbarton,ROUND 1,2.55,3.4,2.38,1.4,2.75,1.02,11.0,1.29,3.5,1.93,1.93,3.25,1.33,6.0,1.11,1.73,2.0,2.6,1.48,1.53,2.43,11.0,9.0,12.0,23.0,9.0,7.0,10.0,21.0,13.0,10.0,15.0,29.0,26.0,21.0,29.0,41.0,126.0
55,Qorb4N9l,05/08/2023,11:00,NORTHERN IRELAND - NIFL CHAMPIONSHIP,Ballyclare,Bangor FC,ROUND 1,2.39,3.64,2.54,1.24,3.6,1.01,13.0,1.14,4.9,1.51,2.32,2.35,1.58,3.88,1.2,1.44,2.69,,,,,13.0,12.0,13.0,23.0,11.0,6.5,8.5,15.0,13.0,8.0,9.0,17.0,21.0,13.0,15.0,26.0,81.0
56,K8s23sPf,05/08/2023,11:00,NORTHERN IRELAND - NIFL CHAMPIONSHIP,Dergview,Portadown,ROUND 1,3.3,3.72,1.97,1.26,3.5,1.01,12.0,1.15,4.5,1.58,2.35,2.34,1.5,4.05,1.18,1.49,2.54,,,,,13.0,9.0,10.0,15.0,12.0,6.5,7.5,12.0,17.0,9.5,9.5,15.0,36.0,21.0,21.0,31.0,101.0
57,0SAxShPu,05/08/2023,11:00,SCOTLAND - LEAGUE TWO,East Fife,Peterhead,ROUND 1,1.75,3.6,3.8,1.36,3.0,1.02,12.0,1.25,3.75,1.8,2.05,2.75,1.4,5.0,1.14,1.73,2.0,1.8,2.05,1.24,3.9,12.0,13.0,21.0,41.0,8.0,7.5,15.0,34.0,9.0,9.0,15.0,34.0,15.0,15.0,23.0,41.0,151.0
58,0EJepfbK,05/08/2023,11:00,NORTHERN IRELAND - NIFL CHAMPIONSHIP,H&W Welders,Ballinamallard,ROUND 1,2.21,3.58,2.87,1.29,3.32,1.02,12.0,1.16,4.3,1.63,2.25,2.45,1.46,4.3,1.16,1.51,2.48,,,,,11.0,10.0,13.0,26.0,8.5,6.0,9.0,17.0,11.0,8.0,9.5,21.0,19.0,13.0,17.0,36.0,101.0
59,tzplxZzn,05/08/2023,11:00,ESTONIA - MEISTRILIIGA,Kalju,Narva,ROUND 22,1.73,3.74,4.3,1.33,3.04,1.01,10.0,1.22,3.65,1.79,2.0,2.84,1.35,5.2,1.11,1.71,2.08,,,,,9.5,12.0,21.0,56.0,6.0,6.0,12.0,31.0,6.5,6.5,11.0,36.0,10.0,10.0,19.0,51.0,201.0
60,YBo621v1,05/08/2023,11:00,NORTHERN IRELAND - NIFL CHAMPIONSHIP,Institute,Knockbreda,ROUND 1,1.74,3.94,3.98,1.24,3.6,1.01,13.0,1.14,4.9,1.51,2.32,2.38,1.57,3.9,1.19,1.52,2.46,,,,,13.0,15.0,21.0,56.0,9.0,7.0,12.0,23.0,9.0,7.0,10.0,23.0,13.0,11.0,15.0,31.0,101.0
61,EVEtRCvn,05/08/2023,11:00,SCOTLAND - LEAGUE TWO,Elgin City,Stranraer,ROUND 1,2.45,3.4,2.4,1.36,3.0,1.02,12.0,1.25,3.75,1.8,2.05,2.75,1.4,5.0,1.14,1.67,2.1,2.5,1.5,1.53,2.43,12.0,10.0,13.0,23.0,10.0,7.0,10.0,19.0,13.0,10.0,13.0,26.0,26.0,21.0,26.0,41.0,151.0
62,nqDlPj9b,05/08/2023,11:00,SCOTLAND - LEAGUE TWO,Spartans,Clyde,ROUND 1,1.57,3.75,4.75,1.33,3.25,1.02,12.0,1.22,4.0,1.73,2.08,2.75,1.4,5.0,1.14,1.8,1.91,1.63,2.25,1.18,4.65,12.0,15.0,26.0,51.0,8.0,8.0,17.0,41.0,8.0,8.5,17.0,41.0,12.0,13.0,23.0,51.0,151.0
63,8hEpQWgh,05/08/2023,11:00,SCOTLAND - LEAGUE TWO,Stenhousemuir,Forfar Athletic,ROUND 1,2.15,3.3,2.9,1.36,3.0,1.02,12.0,1.22,4.0,1.8,2.0,2.75,1.4,5.0,1.14,1.67,2.1,2.2,1.65,1.38,3.0,12.0,11.0,17.0,29.0,9.0,7.0,11.0,23.0,12.0,9.5,13.0,29.0,21.0,17.0,26.0,41.0,151.0
64,QghYdbjI,05/08/2023,11:00,SCOTLAND - CHAMPIONSHIP,Inverness,Queen's Park,ROUND 1,2.1,3.5,3.0,1.33,3.25,1.04,9.0,1.22,4.0,1.73,2.08,2.75,1.4,4.5,1.17,1.62,2.2,2.15,1.68,1.38,3.0,13.0,12.0,17.0,34.0,9.5,7.0,11.0,23.0,12.0,9.5,13.0,29.0,21.0,17.0,23.0,41.0,151.0
65,4v4PbKL5,05/08/2023,11:00,SCOTLAND - CHAMPIONSHIP,Dunfermline,Airdrieonians,ROUND 1,1.85,3.4,3.75,1.36,3.0,1.02,11.0,1.25,3.75,1.9,1.95,3.25,1.33,5.5,1.13,1.8,1.91,1.95,1.9,1.28,3.55,11.0,12.0,21.0,41.0,8.0,7.0,13.0,29.0,9.5,9.0,15.0,34.0,17.0,15.0,26.0,51.0,201.0
66,QZPno1i6,05/08/2023,11:00,SCOTLAND - PREMIERSHIP,St Johnstone,Hearts,ROUND 1,3.25,3.5,2.2,1.36,3.0,1.04,12.0,1.25,4.0,1.85,2.0,3.2,1.36,5.5,1.14,1.7,2.05,3.1,1.35,1.68,2.15,12.0,8.5,11.0,21.0,11.0,6.5,9.0,17.0,17.0,11.0,13.0,23.0,34.0,23.0,29.0,41.0,151.0
