Id,Date,Time,League,Home,Away,Round,Odd_H,Odd_D,Odd_A,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_CS_1-0,Odd_CS_2-0,Odd_CS_2-1,Odd_CS_3-0,Odd_CS_3-1,Odd_CS_3-2,Odd_CS_0-0,Odd_CS_1-1,Odd_CS_2-2,Odd_CS_3-3,Odd_CS_4-4,Odd_CS_0-1,Odd_CS_0-2,Odd_CS_1-2,Odd_CS_0-3,Odd_CS_1-3,Odd_CS_2-3
jaEWAaRf,06/06/2023,15:30,EGYPT - PREMIER LEAGUE,Future FC,Enppi,ROUND 31,1.7,3.6,5.25,2.28,1.63,2.14,1.67,5.0,7.0,8.0,12.0,15.0,31.0,8.0,6.5,18.0,101.0,201.0,12.0,26.0,17.0,91.0,51.0,71.0
YVkaDn39,06/06/2023,12:00,ESTONIA - MEISTRILIIGA,Kuressaare,Levadia,ROUND 16,5.55,4.04,1.53,1.83,1.95,1.86,1.9,13.0,26.0,14.0,81.0,41.0,46.0,10.0,6.5,12.0,61.0,201.0,6.0,6.0,6.0,9.5,9.5,19.0
v9jeESm3,06/06/2023,14:00,ESTONIA - MEISTRILIIGA,Kalju,Parnu JK Vaprus,ROUND 16,1.72,3.82,4.24,1.71,2.11,1.64,2.2,7.0,7.5,6.5,12.0,10.0,15.0,10.0,6.0,10.0,36.0,201.0,13.0,20.0,11.0,41.0,26.0,26.0
KGHsENq6,06/06/2023,15:45,GERMANY - 2. BUNDESLIGA,Arminia Bielefeld,Wehen,RELEGATION ,1.83,4.0,3.8,1.53,2.4,1.53,2.38,10.0,11.0,8.5,17.0,13.0,19.0,17.0,8.0,13.0,41.0,126.0,15.0,21.0,13.0,41.0,26.0,29.0
WUc0f9xp,06/06/2023,12:00,LITHUANIA - A LYGA,Banga,Suduva,ROUND 17,2.32,3.24,2.95,2.08,1.73,1.8,1.96,5.5,7.5,7.0,15.0,14.0,23.0,7.0,5.0,12.0,67.0,201.0,8.0,14.0,10.0,36.0,26.0,36.0
Egm5gTij,06/06/2023,14:00,LITHUANIA - A LYGA,Riteriai,Kauno Zalgiris,ROUND 17,5.1,3.64,1.64,2.09,1.72,2.0,1.77,10.0,23.0,14.0,71.0,46.0,56.0,7.5,6.0,14.0,81.0,201.0,5.0,6.0,6.5,10.0,12.0,23.0
Y3alMlZ0,06/06/2023,19:00,SOUTH AMERICA - COPA LIBERTADORES,Athletico-PR (Bra),Libertad Asuncion (Par),GROUP STAGE ,1.67,3.6,5.75,2.08,1.73,2.0,1.75,6.5,7.5,8.5,12.0,15.0,29.0,9.0,7.0,17.0,51.0,401.0,13.0,26.0,17.0,51.0,41.0,51.0
Y3NdWYd8,06/06/2023,19:00,SOUTH AMERICA - COPA LIBERTADORES,Monagas (Ven),Pereira (Col),GROUP STAGE ,3.3,3.2,2.3,2.15,1.67,1.8,1.95,9.5,15.0,12.0,34.0,26.0,34.0,8.5,6.0,15.0,51.0,251.0,7.5,11.0,9.5,21.0,19.0,29.0
SQbhL8l7,06/06/2023,21:00,SOUTH AMERICA - COPA LIBERTADORES,Alianza Lima (Per),Atletico-MG (Bra),GROUP STAGE ,5.5,3.75,1.67,2.05,1.8,1.95,1.8,12.0,26.0,17.0,51.0,41.0,41.0,9.5,7.0,17.0,51.0,351.0,6.5,7.5,8.5,12.0,15.0,29.0
K0ZE7kK7,06/06/2023,21:00,SOUTH AMERICA - COPA LIBERTADORES,Boca Juniors (Arg),Colo Colo (Chi),GROUP STAGE ,1.62,3.6,6.0,2.25,1.62,2.2,1.62,5.5,6.5,9.0,11.0,15.0,34.0,8.0,7.0,21.0,81.0,201.0,12.0,29.0,19.0,67.0,51.0,51.0
d4eTMLPB,06/06/2023,21:00,SOUTH AMERICA - COPA LIBERTADORES,FBC Melgar (Per),Patronato (Arg),GROUP STAGE ,1.7,3.8,4.75,2.1,1.7,2.05,1.7,6.0,7.0,8.5,13.0,15.0,34.0,9.0,7.5,19.0,67.0,451.0,11.0,23.0,15.0,51.0,41.0,41.0
Y9KcrZjd,06/06/2023,23:00,SOUTH AMERICA - COPA LIBERTADORES,Bolivar (Bol),Cerro Porteno (Par),GROUP STAGE ,1.45,4.5,7.0,1.7,2.1,1.91,1.91,7.5,7.0,8.5,10.0,12.0,26.0,13.0,8.5,19.0,51.0,251.0,17.0,34.0,19.0,67.0,41.0,41.0
KQdBWtYr,06/06/2023,04:30,SOUTH KOREA - K LEAGUE 1,Suwon FC,Ulsan Hyundai,ROUND 17,5.0,4.0,1.53,1.53,2.4,1.62,2.2,19.0,29.0,17.0,51.0,41.0,34.0,17.0,8.5,15.0,41.0,151.0,9.5,9.0,8.5,12.0,12.0,21.0
2knGV0mk,06/06/2023,06:00,SOUTH KOREA - K LEAGUE 1,Pohang,Jeju Utd,ROUND 17,2.0,3.25,3.4,2.05,1.75,1.83,1.83,7.0,9.5,9.0,19.0,17.0,29.0,9.5,6.5,15.0,51.0,301.0,9.5,17.0,12.0,41.0,29.0,41.0
OCMp8Cib,06/06/2023,10:00,SWEDEN - SUPERETTAN,Helsingborg,Jonkoping,ROUND 11,2.38,3.3,2.75,1.93,1.93,1.7,2.05,8.5,12.0,9.5,23.0,19.0,26.0,11.0,6.5,13.0,41.0,201.0,9.5,15.0,11.0,29.0,21.0,29.0
SpTyAYMo,06/06/2023,10:00,SWEDEN - SUPERETTAN,Orgryte,Landskrona,ROUND 11,2.0,3.5,3.25,1.85,2.0,1.7,2.05,8.5,10.0,9.0,19.0,15.0,23.0,12.0,7.0,13.0,41.0,201.0,11.0,17.0,12.0,41.0,26.0,34.0
jwX43l6T,06/06/2023,10:00,SWEDEN - SUPERETTAN,Sundsvall,GAIS,ROUND 11,3.5,3.5,1.95,1.82,2.02,1.7,2.05,12.0,19.0,12.0,41.0,29.0,34.0,12.0,7.0,13.0,41.0,201.0,8.5,10.0,8.5,17.0,15.0,23.0
hMmHLfCr,06/06/2023,15:30,SWITZERLAND - SUPER LEAGUE,Lausanne Ouchy,Sion,RELEGATION ,2.0,3.75,3.5,1.67,2.15,1.62,2.2,9.0,11.0,9.0,17.0,15.0,23.0,13.0,7.5,13.0,41.0,151.0,13.0,17.0,12.0,41.0,23.0,29.0
ENhc2V5P,06/06/2023,11:00,TURKEY - SUPER LIG,Karagumruk,Kasimpasa,ROUND 38,2.0,4.0,3.0,1.36,3.1,1.33,3.25,15.0,15.0,10.0,21.0,15.0,17.0,26.0,9.5,11.0,26.0,67.0,19.0,21.0,12.0,34.0,21.0,21.0
beUTd9Tn,06/06/2023,11:00,TURKEY - SUPER LIG,Sivasspor,Kayserispor,ROUND 38,1.65,4.0,4.2,1.53,2.4,1.57,2.25,10.0,10.0,8.5,15.0,12.0,21.0,17.0,8.5,13.0,41.0,126.0,17.0,26.0,15.0,41.0,29.0,29.0
Q1G6u8bC,06/06/2023,14:00,TURKEY - SUPER LIG,Basaksehir,Trabzonspor,ROUND 38,2.1,3.6,3.0,1.65,2.2,1.57,2.25,10.0,12.0,9.0,21.0,15.0,21.0,15.0,7.5,12.0,41.0,126.0,12.0,17.0,11.0,34.0,21.0,26.0
