Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
13,U7UL01iU,07/08/2023,13:00,BULGARIA - PARVA LIGA,CSKA 1948 Sofia,Hebar,ROUND 4,1.33,6.0,7.5,1.36,3.0,1.04,12.0,1.25,3.75,1.85,2.0,3.25,1.33,6.0,1.13,2.38,1.53,1.35,3.1,1.12,6.25,12.0,13.0,34.0,101.0,6.5,11.0,21.0,51.0,5.5,10.0,29.0,51.0,7.5,13.0,41.0,101.0,201.0
14,hdY5CrlK,07/08/2023,13:00,ARMENIA - PREMIER LEAGUE,Urartu,Ararat-Armenia,ROUND 2,2.72,3.18,2.48,1.45,2.56,1.04,7.7,1.36,2.79,2.18,1.67,3.74,1.21,7.5,1.04,1.84,1.92,,,,,7.0,6.5,9.5,21.0,7.0,5.0,7.5,17.0,11.0,8.5,11.0,26.0,26.0,20.0,31.0,61.0,201.0
15,6HwdFrji,07/08/2023,13:00,SERBIA - SUPER LIGA,Radnik,Sp. Subotica,ROUND 2,2.08,3.28,3.53,1.47,2.57,1.04,7.5,1.37,2.75,2.25,1.64,3.96,1.19,7.8,1.04,1.92,1.84,,,,,7.5,9.0,15.0,36.0,6.5,6.0,11.0,26.0,9.5,8.5,15.0,36.0,20.0,19.0,31.0,76.0,201.0
16,SYK1fIT6,07/08/2023,13:00,ICELAND - BESTA DEILD KARLA,Valur,KA Akureyri,ROUND 18,1.5,4.75,5.65,1.23,3.92,1.01,17.5,1.1,5.4,1.41,2.64,2.13,1.73,3.32,1.27,1.56,2.36,,,,,15.0,19.0,34.0,81.0,7.5,7.5,14.0,34.0,7.5,6.0,11.0,31.0,9.5,8.5,13.0,36.0,201.0
17,fH8Q1267,07/08/2023,14:00,POLAND - EKSTRAKLASA,Puszcza,Stal Mielec,ROUND 3,2.38,3.2,3.0,1.44,2.63,1.06,10.0,1.33,3.25,2.05,1.75,3.5,1.29,8.0,1.08,1.8,1.95,2.35,1.58,1.38,3.0,9.0,9.0,15.0,34.0,8.0,6.0,11.0,26.0,11.0,9.5,15.0,34.0,23.0,21.0,29.0,51.0,251.0
18,IV5ZIKU5,07/08/2023,14:00,SWEDEN - ALLSVENSKAN,Malmo FF,Halmstad,ROUND 18,1.25,6.0,11.0,1.29,3.5,1.03,17.0,1.17,5.0,1.53,2.4,2.38,1.53,4.0,1.22,2.05,1.7,1.25,3.8,,,15.0,23.0,51.0,126.0,7.5,12.0,26.0,67.0,6.5,9.0,26.0,51.0,7.5,11.0,29.0,67.0,451.0
19,dM4wIvpC,07/08/2023,14:00,SWEDEN - ALLSVENSKAN,Norrkoping,Goteborg,ROUND 18,2.15,3.3,3.5,1.4,2.75,1.06,10.0,1.29,3.5,1.98,1.88,3.25,1.33,6.5,1.11,1.75,2.0,2.08,1.73,1.3,3.45,10.0,11.0,17.0,41.0,8.0,6.5,12.0,29.0,10.0,9.0,13.0,34.0,19.0,17.0,26.0,41.0,201.0
20,js91Mgyb,07/08/2023,14:00,SWEDEN - ALLSVENSKAN,Varberg,Mjallby,ROUND 18,2.88,3.2,2.55,1.5,2.5,1.08,8.0,1.4,2.75,2.25,1.62,4.33,1.2,10.0,1.06,1.95,1.8,2.75,1.43,1.53,2.43,8.0,7.0,11.0,26.0,7.5,6.0,10.0,23.0,13.0,11.0,17.0,34.0,29.0,26.0,41.0,51.0,401.0
21,feerzsb5,07/08/2023,14:00,SWEDEN - SUPERETTAN,Trelleborg,Orebro,ROUND 17,2.2,3.2,3.1,1.4,2.75,1.06,10.0,1.29,3.5,1.95,1.9,3.25,1.33,6.5,1.11,1.7,2.05,2.2,1.65,1.35,3.1,10.0,11.0,17.0,34.0,8.5,6.5,12.0,26.0,11.0,9.0,13.0,34.0,21.0,17.0,26.0,41.0,201.0
22,nm1ItKLM,07/08/2023,15:00,POLAND - DIVISION 1,R. Rzeszow,Podbeskidzie,ROUND 3,3.1,3.3,2.1,1.4,2.75,1.05,11.0,1.29,3.5,1.95,1.9,3.25,1.33,6.5,1.11,1.73,2.0,3.0,1.38,1.68,2.15,11.0,8.5,11.0,21.0,10.0,6.5,9.0,17.0,17.0,11.0,13.0,26.0,34.0,26.0,34.0,41.0,201.0
23,CIxpwny5,07/08/2023,15:00,CANADA - CANADIAN PREMIER LEAGUE,HFX Wanderers,Pacific FC,-,2.82,3.1,2.45,1.46,2.53,1.04,7.6,1.34,2.88,2.13,1.7,3.65,1.22,7.1,1.05,1.81,1.95,,,,,7.5,7.5,11.0,21.0,7.5,5.5,8.5,17.0,12.0,9.0,12.0,26.0,23.0,19.0,29.0,61.0,101.0
24,jLmxpvbn,07/08/2023,15:00,PERU - LIGA 1,AD Cantolao,Sport Huancayo,CLAUSURA ,4.5,3.5,1.83,1.4,2.75,1.06,10.0,1.3,3.4,2.03,1.83,3.4,1.3,7.0,1.1,1.83,1.83,4.15,1.22,2.03,1.83,9.5,7.0,8.5,15.0,12.0,6.5,8.5,15.0,23.0,15.0,15.0,26.0,41.0,34.0,41.0,51.0,251.0
25,6cLaBEib,07/08/2023,15:15,SLOVENIA - PRVA LIGA,Aluminij,Koper,ROUND 3,3.26,3.25,2.07,1.4,2.85,1.05,10.0,1.28,3.65,1.95,1.85,3.2,1.35,6.2,1.12,1.8,1.96,,,,,8.0,7.0,9.0,17.0,8.0,5.0,7.5,15.0,13.0,8.5,10.0,21.0,26.0,21.0,26.0,51.0,201.0
26,jHVH1sxO,07/08/2023,15:15,BULGARIA - PARVA LIGA,Beroe,Krumovgrad,ROUND 4,2.45,3.2,3.0,1.44,2.63,1.07,9.0,1.36,3.0,2.15,1.67,3.75,1.25,9.0,1.07,1.83,1.83,2.35,1.58,1.38,3.0,8.5,8.5,15.0,29.0,7.5,6.0,11.0,26.0,11.0,10.0,15.0,34.0,23.0,21.0,34.0,51.0,301.0
27,rseNuE8C,07/08/2023,15:30,ARGENTINA - PRIMERA NACIONAL,Flandria,Estudiantes Rio Cuarto,ROUND 28,3.0,3.0,2.6,1.62,2.2,1.13,6.0,1.57,2.25,2.88,1.4,6.0,1.13,15.0,1.03,2.25,1.57,2.85,1.4,1.5,2.5,6.0,6.0,11.0,26.0,6.5,6.0,11.0,26.0,13.0,12.0,21.0,41.0,34.0,34.0,41.0,81.0,201.0
28,MyjCm7Ve,07/08/2023,15:30,ROMANIA - LIGA 1,FC Voluntari,FC Rapid Bucuresti,ROUND 4,3.3,3.25,2.1,1.5,2.5,1.07,9.0,1.4,2.75,2.25,1.62,4.33,1.2,10.0,1.06,2.0,1.73,3.3,1.33,1.7,2.1,8.0,6.5,9.5,19.0,8.5,6.5,9.5,19.0,17.0,12.0,17.0,34.0,41.0,29.0,41.0,67.0,201.0
29,vJ5XceOt,07/08/2023,15:30,ARGENTINA - PRIMERA NACIONAL,Agropecuario,Temperley,ROUND 28,2.0,3.25,4.0,1.62,2.2,1.13,6.0,1.57,2.25,2.7,1.44,6.0,1.13,13.0,1.04,2.5,1.5,1.98,1.88,1.24,3.9,6.0,8.0,19.0,51.0,5.0,7.0,15.0,41.0,7.5,10.0,23.0,51.0,17.0,21.0,41.0,101.0,201.0
30,z74jb0wn,07/08/2023,15:45,NORTHERN IRELAND - NIFL PREMIERSHIP,Larne,Dungannon,ROUND 1,1.1,8.7,23.0,1.21,3.9,1.02,17.5,1.11,5.2,1.43,2.54,2.16,1.69,3.42,1.25,2.57,1.48,,,,,19.0,51.0,176.0,201.0,6.5,15.0,71.0,201.0,4.5,8.5,36.0,201.0,5.0,9.0,34.0,201.0,201.0
31,KfhtqbDh,07/08/2023,17:15,PERU - LIGA 1,Deportivo Garcilaso,Dep. Municipal,CLAUSURA ,1.3,6.0,8.5,1.25,3.75,1.04,13.0,1.2,4.33,1.67,2.15,2.63,1.44,5.0,1.17,2.1,1.67,1.33,3.3,1.1,7.0,13.0,17.0,41.0,101.0,7.0,11.0,21.0,51.0,6.0,9.5,26.0,51.0,8.0,12.0,29.0,81.0,351.0
32,thsZAFzl,07/08/2023,18:00,BRAZIL - SERIE B,Juventude,Vila Nova FC,ROUND 22,2.33,2.9,3.58,1.64,2.18,1.1,5.6,1.59,2.39,2.64,1.41,5.1,1.11,10.2,8.25,2.22,1.63,,,,,6.0,7.5,15.0,41.0,5.5,5.5,12.0,36.0,9.5,9.5,17.0,61.0,21.0,23.0,51.0,151.0,201.0
33,Mk9MV3XJ,07/08/2023,18:00,ARGENTINA - PRIMERA NACIONAL,Aldosivi,CA Estudiantes,ROUND 25,2.5,3.1,3.1,1.53,2.38,1.1,7.0,1.44,2.63,2.4,1.53,4.5,1.18,11.0,1.05,2.0,1.73,2.38,1.55,1.38,3.0,7.0,7.5,13.0,34.0,6.5,6.0,12.0,29.0,11.0,10.0,17.0,41.0,23.0,23.0,41.0,67.0,201.0
34,0zLWLMs2,07/08/2023,19:15,COLOMBIA - PRIMERA A,Bucaramanga,Jaguares de Cordoba,CLAUSURA ,2.0,3.3,4.0,1.44,2.63,1.07,9.0,1.36,3.0,2.2,1.65,4.0,1.22,9.0,1.07,1.91,1.8,1.95,1.9,1.24,3.9,8.0,10.0,19.0,41.0,6.5,6.5,13.0,34.0,8.5,9.0,17.0,41.0,17.0,17.0,34.0,51.0,301.0
35,dpihKaPR,07/08/2023,20:00,PARAGUAY - PRIMERA DIVISION,Tacuary,Ameliano,CLAUSURA ,2.9,3.3,2.15,1.4,2.75,1.05,11.0,1.29,3.5,1.93,1.88,3.25,1.33,6.5,1.11,1.73,2.0,3.0,1.38,1.65,2.2,11.0,8.0,11.0,21.0,10.0,6.5,9.5,19.0,15.0,11.0,15.0,26.0,34.0,23.0,34.0,41.0,201.0
36,KrtwAZkf,07/08/2023,20:00,BRAZIL - SERIE B,Londrina,Vitoria,ROUND 22,3.33,2.96,2.41,1.59,2.28,1.08,6.15,1.51,2.59,2.4,1.49,4.5,1.15,8.9,1.02,2.06,1.73,,,,,6.5,7.0,11.0,23.0,7.5,5.5,9.5,21.0,13.0,11.0,15.0,36.0,36.0,26.0,46.0,91.0,201.0
37,O0rGffj7,07/08/2023,20:00,BRAZIL - SERIE B,Atletico GO,Tombense,ROUND 22,1.72,3.7,4.96,1.44,2.68,1.03,8.1,1.33,2.96,2.13,1.73,3.64,1.23,7.1,1.05,2.02,1.75,,,,,8.5,12.0,26.0,81.0,5.5,6.5,15.0,51.0,7.0,8.0,17.0,61.0,12.0,14.0,26.0,81.0,201.0
38,O6DQAKrl,07/08/2023,21:00,ECUADOR - LIGA PRO,LDU Quito,Dep. Cuenca,SECOND STAGE ,1.4,4.75,8.0,1.29,3.5,1.03,15.0,1.18,4.5,1.6,2.3,2.5,1.5,4.33,1.2,1.83,1.83,1.38,3.0,1.1,7.0,15.0,21.0,41.0,81.0,8.0,9.0,21.0,51.0,7.5,8.5,17.0,51.0,9.5,11.0,23.0,51.0,201.0
39,QkbCa2H5,07/08/2023,21:00,CHILE - PRIMERA DIVISION,U. De Chile,O'Higgins,ROUND 20,1.83,3.5,4.5,1.44,2.63,1.07,9.0,1.36,3.0,2.15,1.67,3.75,1.25,9.0,1.07,2.0,1.73,1.88,1.98,1.23,4.0,8.5,11.0,21.0,41.0,6.5,6.5,15.0,41.0,8.0,9.0,17.0,41.0,15.0,17.0,29.0,51.0,301.0
40,l6xAMaf6,07/08/2023,21:00,ARGENTINA - PRIMERA NACIONAL,Chaco For Ever,Racing Cordoba,ROUND 25,2.3,3.1,3.4,1.62,2.2,1.13,6.0,1.53,2.38,2.7,1.44,5.5,1.14,13.0,1.04,2.25,1.57,2.2,1.65,1.3,3.45,6.0,7.5,15.0,41.0,5.5,6.0,13.0,34.0,9.0,10.0,21.0,51.0,21.0,23.0,41.0,81.0,201.0
41,ATdFszv0,07/08/2023,21:10,ARGENTINA - PRIMERA NACIONAL,Gimnasia Mendoza,Almirante Brown,ROUND 28,2.3,3.2,3.3,1.57,2.25,1.1,7.0,1.5,2.5,2.6,1.48,5.5,1.14,13.0,1.04,2.25,1.57,2.2,1.65,1.35,3.1,6.5,7.5,15.0,41.0,5.5,6.5,13.0,34.0,9.0,10.0,21.0,41.0,21.0,23.0,41.0,81.0,201.0
42,l0HSM2Se,07/08/2023,21:30,COLOMBIA - PRIMERA A,Millonarios,Deportes Tolima,CLAUSURA ,1.91,3.2,4.75,1.44,2.63,1.08,8.0,1.36,3.0,2.2,1.65,4.0,1.22,9.0,1.07,1.91,1.8,1.88,1.98,1.2,4.4,8.0,11.0,21.0,51.0,6.5,6.0,15.0,41.0,8.0,9.0,17.0,41.0,15.0,17.0,34.0,51.0,351.0
