League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score
Norwegian Eliteserien,2024-06-27,16:15:00,Lillestrom,Kfum Oslo,2.04,2.06,3.8,3.85,4.0,4.1,2.2,2.24,1.81,1.83,1.73,1.78,2.28,2.38,16.0,18.0,15.0,17.5,26.0,29.0,65.0,80.0,10.0,11.0,8.2,8.8,14.5,15.5,38.0,44.0,12.0,13.0,9.6,10.5,16.0,18.0,44.0,50.0,18.5,23.0,18.0,19.5,28.0,32.0,70.0,85.0,11.0,12.0,27.0,38.0,18.5,980.0,33335696,10770.0,14136987.0,58805.0,1.229752167,1.229752177,1.229752166,1.229752176
Icelandic Urvalsdeild,2024-06-27,16:15:00,KR Reykjavik,Fylkir,1.8,1.82,4.0,4.1,4.9,5.1,3.7,3.9,1.34,1.36,1.44,1.49,3.05,3.3,10.5,42.0,29.0,34.0,11.0,42.0,65.0,75.0,19.0,21.0,12.5,14.5,17.0,19.0,32.0,36.0,17.0,18.5,10.5,12.5,14.0,15.5,29.0,32.0,22.0,23.0,14.5,16.5,18.5,21.0,38.0,48.0,5.0,5.4,12.0,20.0,14.0,980.0,33368972,399808.0,46954.0,58805.0,1.230102091,1.230102136,1.230102175,1.230102100
Icelandic Urvalsdeild,2024-06-27,16:15:00,Stjarnan,Vikingur Reykjavik,3.4,3.55,2.04,2.08,4.3,4.5,2.98,3.1,1.48,1.51,1.5,1.55,2.82,2.98,22.0,32.0,15.5,18.0,15.5,18.5,6.0,28.0,20.0,25.0,9.6,12.5,9.6,12.5,16.0,19.0,6.4,34.0,13.5,17.0,12.5,17.0,21.0,27.0,6.8,65.0,6.6,36.0,6.6,36.0,7.0,60.0,5.5,19.5,4.0,8.6,7.6,980.0,33366737,3831006.0,5241831.0,58805.0,1.230074515,1.230074560,1.230074599,1.230074524
Ecuadorian Serie B,2024-06-27,17:00:00,Cuniburo FC,Guayaquil City,1.85,1.98,5.2,6.0,3.25,3.65,1.49,1.62,2.62,3.05,2.3,2.52,1.66,1.77,7.0,9.0,5.1,980.0,6.6,980.0,7.6,1000.0,5.3,6.6,6.8,14.0,6.0,980.0,7.4,980.0,8.0,980.0,4.9,980.0,6.4,980.0,7.6,980.0,6.0,980.0,6.2,980.0,7.0,980.0,7.6,1000.0,6.0,980.0,5.6,1000.0,8.0,1000.0,33374308,55425503.0,15116449.0,58805.0,1.230157193,1.230157238,1.230157277,1.230157202
Brazilian Serie A,2024-06-27,19:00:00,Fluminense,EC Vitoria Salvador,2.0,2.02,4.6,4.7,3.45,3.5,1.7,1.72,2.4,2.42,2.12,2.2,1.84,1.89,9.6,10.5,12.5,14.0,29.0,32.0,85.0,130.0,6.6,7.0,7.2,7.6,18.0,19.0,65.0,70.0,10.0,10.5,10.0,10.5,22.0,23.0,80.0,95.0,21.0,23.0,22.0,24.0,46.0,50.0,100.0,170.0,18.0,19.5,85.0,110.0,150.0,1000.0,33363726,198133.0,5336581.0,58805.0,1.230037373,1.230037357,1.230037372,1.230037382
CONMEBOL Copa America,2024-06-27,19:00:00,Panama,USA,10.0,10.5,1.42,1.43,5.0,5.1,2.06,2.08,1.92,1.94,2.2,2.28,1.78,1.84,15.5,16.0,7.0,7.4,7.4,7.8,11.0,11.5,27.0,28.0,10.0,11.0,9.4,9.6,14.5,15.5,80.0,85.0,34.0,36.0,28.0,30.0,38.0,42.0,110.0,370.0,140.0,170.0,120.0,160.0,48.0,200.0,110.0,270.0,7.0,7.2,130.0,1000.0,33294148,520320.0,352.0,58805.0,1.229225191,1.229225175,1.229225190,1.229225200
Brazilian Serie D,2024-06-27,19:00:00,AD Iguatu,Maracana CE,1.51,2.38,4.0,13.0,2.82,11.5,1.31,2.26,1.79,4.2,1.01,1000.0,1.01,1000.0,1.45,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33374970,14549971.0,17607504.0,58805.0,1.230165025,1.230165070,1.230165109,1.230165034
Brazilian Serie D,2024-06-27,19:30:00,Maranhao,Cameta,1.28,1.88,5.2,980.0,3.65,290.0,1.49,2.7,1.58,3.05,1.01,1000.0,1.01,1000.0,1.48,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33374973,7176805.0,7160945.0,58805.0,1.230164935,1.230164980,1.230165019,1.230164944
Brazilian Serie A,2024-06-27,20:00:00,Sao Paulo,Criciuma,1.6,1.61,6.8,7.2,4.2,4.3,1.87,1.9,2.1,2.16,2.16,2.26,1.8,1.86,12.0,13.0,18.0,20.0,48.0,55.0,48.0,250.0,6.8,7.2,8.8,9.2,25.0,28.0,75.0,120.0,8.0,8.4,9.4,9.8,25.0,26.0,80.0,120.0,13.5,14.5,17.0,18.0,40.0,44.0,46.0,170.0,10.0,11.0,95.0,160.0,25.0,1000.0,33363724,198126.0,356589.0,58805.0,1.230037493,1.230037477,1.230037492,1.230037502
Brazilian Serie C,2024-06-27,20:00:00,Confianca,CSA,2.2,2.38,4.0,4.7,2.88,3.3,1.48,1.57,2.66,3.15,2.16,2.44,1.69,1.85,3.9,980.0,4.1,980.0,5.3,980.0,1.49,1000.0,3.75,980.0,6.2,980.0,1.81,980.0,1.94,1000.0,3.9,980.0,2.16,980.0,1.98,980.0,1.48,1000.0,1.52,980.0,5.4,980.0,1.98,1000.0,1.97,980.0,1.27,980.0,1.2,1000.0,1.32,1000.0,33374901,3806543.0,3794140.0,58805.0,1.230164245,1.230164290,1.230164329,1.230164254
Brazilian Serie D,2024-06-27,20:00:00,America RN,Sousa EC,1.5,2.5,3.25,26.0,2.62,16.0,1.41,1.87,2.14,3.45,1.01,1000.0,1.01,1000.0,1.49,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33374955,4701920.0,7207476.0,58805.0,1.230165116,1.230165161,1.230165200,1.230165125
Canadian Premier League,2024-06-27,20:30:00,Valour,York9,2.44,2.76,2.66,3.1,3.55,4.2,2.12,2.3,1.77,1.88,1.65,1.81,2.24,2.54,4.1,980.0,3.85,980.0,4.3,980.0,4.7,980.0,9.2,980.0,3.45,980.0,3.9,980.0,4.5,980.0,13.5,980.0,4.1,980.0,4.2,980.0,4.7,980.0,4.7,980.0,4.5,980.0,4.7,980.0,5.0,980.0,4.2,980.0,4.3,980.0,5.2,1000.0,33368509,24151528.0,24394930.0,58805.0,1.230098891,1.230098936,1.230098975,1.230098900
Chilean Cup,2024-06-27,21:00:00,Magallanes,Curico Unido,1.9,2.18,3.9,4.9,3.3,4.0,1.76,1.99,2.0,2.32,1.87,2.12,1.89,2.16,3.85,980.0,3.95,980.0,4.6,980.0,4.9,980.0,3.4,980.0,3.25,980.0,4.1,980.0,4.8,980.0,3.85,980.0,8.6,980.0,4.3,980.0,4.9,980.0,4.4,980.0,4.4,980.0,4.7,980.0,5.0,980.0,4.1,980.0,4.9,980.0,5.1,1000.0,33375083,5678438.0,5429246.0,58805.0,1.230165401,1.230165446,1.230165485,1.230165410
CONMEBOL Copa America,2024-06-27,22:00:00,Uruguay,Bolivia,1.21,1.22,19.0,21.0,8.0,8.2,2.4,2.48,1.68,1.72,2.66,2.78,1.56,1.61,22.0,25.0,44.0,55.0,48.0,250.0,60.0,1000.0,7.8,8.2,16.5,18.0,60.0,75.0,85.0,980.0,6.0,6.4,11.5,12.5,48.0,55.0,50.0,360.0,7.6,8.2,14.0,15.0,50.0,60.0,85.0,430.0,3.9,4.1,75.0,980.0,1000.0,1000.0,33294154,15298.0,61303.0,58805.0,1.229225354,1.229225338,1.229225353,1.229225363
Canadian Premier League,2024-06-27,23:30:00,Pacific,Vancouver FC,1.84,2.18,3.7,5.2,3.25,5.1,1.71,2.74,1.89,3.05,1.72,2.2,1.84,2.4,2.26,980.0,1.51,980.0,1.23,980.0,1.26,1000.0,2.14,980.0,2.1,980.0,1.27,980.0,1.17,1000.0,2.24,980.0,2.2,980.0,1.27,980.0,1.17,1000.0,1.17,1000.0,1.27,1000.0,1.17,1000.0,1.17,1000.0,1.17,980.0,1.17,1000.0,1.17,1000.0,33368522,23522859.0,55667494.0,58805.0,1.230098984,1.230099029,1.230099068,1.230098993
