,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
15,SCOTLAND - LEAGUE TWO,2024-03-23,12:00,Dumbarton,Bonnyrigg Rose,1.62,3.6,5.0,1.78,1.8,1.91
16,SCOTLAND - LEAGUE TWO,2024-03-23,12:00,East Fife,Stranraer,1.85,3.1,4.2,1.98,1.8,1.91
17,SCOTLAND - LEAGUE TWO,2024-03-23,12:00,Stenhousemuir,Peterhead,1.85,3.2,4.0,2.05,1.83,1.83
18,SERBIA - PRVA LIGA,2024-03-23,13:00,Macva,Radnicki Beograd,1.7,3.25,4.6,2.15,2.09,1.71
19,ITALY - SERIE C,2024-03-23,13:30,Recanatese,Ancona,2.57,3.3,2.57,2.07,1.85,1.85
20,ITALY - SERIE C,2024-03-23,13:30,Pescara,Pontedera,1.82,3.5,4.1,1.7,1.62,2.15
21,ITALY - SERIE C,2024-03-23,13:30,L.R. Vicenza,Legnago Salus,1.6,3.6,5.6,2.3,2.3,1.55
22,SPAIN - PRIMERA RFEF,2024-03-23,14:00,Real Madrid B,Castellon,2.63,3.3,2.25,1.95,1.73,2.0
23,SPAIN - LALIGA2,2024-03-23,14:30,FC Cartagena SAD,Andorra,2.3,3.0,3.4,2.5,2.1,1.67
24,USA - MLS,2024-03-23,15:00,New England Revolution,Chicago Fire,1.85,3.75,4.0,1.67,1.62,2.2
25,USA - MLS,2024-03-23,15:00,New York Red Bulls,Inter Miami,2.3,3.6,2.9,1.88,1.75,2.0
26,SPAIN - PRIMERA RFEF,2024-03-23,15:00,Celta Vigo B,Fuenlabrada,1.73,3.25,4.33,2.15,2.1,1.67
27,ARGENTINA - PRIMERA NACIONAL,2024-03-23,15:35,Aldosivi,Alvarado,2.1,2.9,4.2,2.7,2.1,1.67
28,ARGENTINA - PRIMERA NACIONAL,2024-03-23,16:00,Deportivo Madryn,Temperley,2.25,3.0,3.6,2.7,2.2,1.62
29,SPAIN - PRIMERA RFEF,2024-03-23,16:00,Sabadell,Arenteiro,2.1,2.9,3.6,2.5,2.2,1.62
30,COLOMBIA - PRIMERA A,2024-03-23,16:00,Millonarios,Dep. Cali,1.57,4.0,6.0,2.03,2.0,1.73
31,ARGENTINA - PRIMERA NACIONAL,2024-03-23,16:00,San Telmo,Almagro,2.1,3.0,3.8,2.7,2.25,1.57
32,ARGENTINA - PRIMERA NACIONAL,2024-03-23,17:00,Deportivo Maipu,Tristan Suarez,2.5,3.1,3.1,2.35,2.0,1.73
33,SPAIN - LALIGA2,2024-03-23,17:00,Espanyol,Tenerife,2.0,3.0,4.5,2.7,2.25,1.57
34,VENEZUELA - LIGA FUTVE,2024-03-23,17:00,Metropolitanos,Rayo Zuliano,1.7,3.45,4.8,1.88,1.8,1.82
35,ECUADOR - LIGA PRO,2024-03-23,17:30,Imbabura,Cumbaya,1.73,3.75,4.2,1.8,1.73,2.0
36,ARGENTINA - PRIMERA NACIONAL,2024-03-23,17:40,Quilmes,Guillermo Brown,1.7,3.5,5.5,2.5,2.5,1.5
37,COLOMBIA - PRIMERA A,2024-03-23,18:10,Deportes Tolima,Pereira,1.85,3.4,4.5,2.2,2.0,1.73
38,ECUADOR - LIGA PRO,2024-03-23,20:00,EL Nacional,Dep. Cuenca,1.91,3.25,3.5,1.95,1.8,1.91
39,VENEZUELA - LIGA FUTVE,2024-03-23,20:00,Carabobo,Estudiantes Merida,1.65,3.45,5.2,2.0,1.98,1.65
40,COLOMBIA - PRIMERA A,2024-03-23,20:20,Jaguares de Cordoba,Fortaleza,2.25,3.0,3.6,2.6,2.2,1.62
41,USA - MLS,2024-03-23,20:30,FC Cincinnati,New York City,1.85,3.6,4.0,1.98,1.8,1.95
42,USA - MLS,2024-03-23,20:30,Orlando City,Austin FC,1.57,4.0,6.0,1.67,1.75,2.0
43,USA - MLS,2024-03-23,20:30,Toronto FC,Atlanta Utd,2.2,3.6,3.0,1.67,1.57,2.25
44,USA - MLS,2024-03-23,20:30,Vancouver Whitecaps,Real Salt Lake,1.83,3.6,4.33,1.7,1.67,2.1
45,ARGENTINA - PRIMERA NACIONAL,2024-03-23,21:00,Gimnasia Jujuy,Patronato,1.75,3.3,5.25,2.5,2.38,1.53
46,USA - MLS,2024-03-23,21:30,St. Louis City,DC United,2.0,3.6,3.75,1.7,1.62,2.2
47,USA - MLS,2024-03-23,21:30,Sporting Kansas City,Los Angeles Galaxy,1.95,3.75,3.6,1.5,1.44,2.63
48,MEXICO - LIGA MX,2024-03-23,22:00,Juarez,Puebla,2.0,3.75,3.4,1.73,1.62,2.2
49,MEXICO - LIGA DE EXPANSION MX,2024-03-23,22:05,Correcaminos,Venados,2.25,3.2,3.1,2.0,1.78,1.93
50,USA - MLS,2024-03-23,22:30,Colorado Rapids,Houston Dynamo,2.15,3.4,3.4,2.08,1.91,1.91
51,USA - MLS,2024-03-23,23:30,Portland Timbers,Philadelphia Union,1.95,3.75,3.6,1.73,1.67,2.1
