,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_Under45,FT_Odd_BTTS_No,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,p_H,p_D,p_A,p_Over,p_under45,CV_HDA,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,prediction_label,prediction_score
11,SPAIN - LALIGA2,03/09/2023,11:15,Eibar,Leganes,2.0,3.2,4.2,2.7,1.44,2.25,1.04,1.57,0.8,0.9,0.6,1.2,0.5,0.312,0.238,0.37,0.962,0.315,0.2,-0.3,1,0.5754
12,SWITZERLAND - SUPER LEAGUE,03/09/2023,11:30,Luzern,Lugano,2.1,3.6,3.4,1.62,2.25,1.5,1.2,2.5,1.5,1.1,1.4,1.1,0.476,0.278,0.294,0.617,0.833,0.257,0.1,0.0,1,0.5468
13,AUSTRIA - BUNDESLIGA,03/09/2023,12:00,Austria Vienna,A. Klagenfurt,1.85,4.0,3.75,1.6,2.3,1.53,1.2,2.38,2.1,1.2,1.4,2.4,0.541,0.25,0.267,0.625,0.833,0.378,0.7,-1.2,1,0.539
14,AUSTRIA - BUNDESLIGA,03/09/2023,12:00,Salzburg,Rapid Vienna,1.5,4.2,7.0,1.6,2.3,1.7,1.2,2.05,2.1,0.8,1.0,1.9,0.667,0.238,0.143,0.625,0.833,0.653,1.1,-1.1,1,0.6378
15,SWEDEN - ALLSVENSKAN,03/09/2023,12:30,Varberg,Brommapojkarna,3.3,3.4,2.2,1.8,2.0,1.62,1.14,2.2,0.6,2.0,1.4,1.8,0.303,0.294,0.455,0.556,0.877,0.211,-0.8,0.2,1,0.8334
16,BELGIUM - JUPILER PRO LEAGUE,03/09/2023,13:30,Genk,Anderlecht,1.91,3.6,3.8,1.65,2.2,1.57,1.18,2.25,2.1,1.1,1.0,1.4,0.524,0.278,0.263,0.606,0.847,0.337,1.1,-0.3,1,0.5892
17,ARGENTINA - COPA DE LA LIGA PROFESIONAL,03/09/2023,14:00,Defensa y Justicia,Sarmiento Junin,1.8,3.4,5.0,2.1,1.7,2.0,1.08,1.73,1.2,0.7,0.4,0.9,0.556,0.294,0.2,0.476,0.926,0.43,0.8,-0.2,1,0.8335
18,BELGIUM - JUPILER PRO LEAGUE,03/09/2023,14:15,Charleroi,St. Truiden,2.2,3.3,3.3,2.05,1.75,1.8,1.08,1.95,1.2,1.4,1.0,1.3,0.455,0.303,0.303,0.488,0.926,0.203,0.2,0.1,1,0.5718
19,SPAIN - PRIMERA RFEF,03/09/2023,15:30,Barcelona B,R. Union,1.85,3.1,4.0,2.35,1.57,2.2,1.06,1.62,1.5,0.7,0.8,1.4,0.541,0.323,0.25,0.426,0.943,0.333,0.7,-0.7,1,0.5027
20,SPAIN - PRIMERA RFEF,03/09/2023,15:30,Ceuta,Recreativo Huelva,2.2,3.0,3.1,2.15,1.67,1.83,1.08,1.83,2.1,1.2,0.6,0.4,0.455,0.333,0.323,0.465,0.926,0.162,1.5,0.8,1,0.5722
21,ARGENTINA - PRIMERA NACIONAL,03/09/2023,15:40,Deportivo Moron,Def. de Belgrano,2.2,3.0,3.8,2.7,1.44,2.2,1.04,1.62,1.5,0.8,0.8,1.0,0.455,0.333,0.263,0.37,0.962,0.226,0.7,-0.2,1,0.5018
22,ARGENTINA - COPA DE LA LIGA PROFESIONAL,03/09/2023,16:15,Rosario Central,Talleres Cordoba,2.8,3.2,2.6,2.2,1.65,1.83,1.07,1.83,1.8,1.0,1.7,1.0,0.357,0.312,0.385,0.455,0.935,0.086,0.1,0.0,1,0.6112
23,SPAIN - PRIMERA RFEF,03/09/2023,16:30,Antequera,Real Madrid B,2.7,3.0,2.45,2.05,1.75,1.8,1.08,1.91,1.8,0.7,1.9,1.6,0.37,0.333,0.408,0.488,0.926,0.083,-0.1,-0.9,1,0.7577
24,SPAIN - PRIMERA RFEF,03/09/2023,16:30,Cornella,Fuenlabrada,2.25,3.0,3.2,2.5,1.5,2.2,1.05,1.62,1.2,0.9,0.6,1.9,0.444,0.333,0.312,0.4,0.952,0.16,0.6,-1.0,1,0.51
25,URUGUAY - PRIMERA DIVISION,03/09/2023,18:00,Nacional,Plaza Colonia,1.33,4.75,7.5,1.75,2.05,2.1,1.14,1.67,2.0,0.7,0.8,2.4,0.752,0.211,0.133,0.571,0.877,0.753,1.2,-1.7,1,0.7752
26,ARGENTINA - COPA DE LA LIGA PROFESIONAL,03/09/2023,18:30,Boca Juniors,Tigre,1.91,3.5,4.33,2.3,1.6,2.1,1.06,1.67,1.6,0.9,0.7,1.0,0.524,0.286,0.231,0.435,0.943,0.366,0.9,-0.1,1,0.5274
27,USA - MLS,03/09/2023,23:00,Los Angeles FC,Inter Miami,1.95,3.75,3.6,1.53,2.4,1.5,1.22,2.5,1.5,0.8,0.7,2.0,0.513,0.267,0.278,0.654,0.82,0.322,0.8,-1.2,1,0.6865
