Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
24,n14UnMgE,19/08/2023,14:30,SPAIN - LALIGA2,Levante,Burgos CF,ROUND 2,1.67,3.5,6.0,1.53,2.38,1.1,7.0,1.44,2.63,2.4,1.53,5.0,1.17,11.0,1.05,2.38,1.53,1.65,2.2,1.15,5.5,7.0,11.0,26.0,67.0,5.0,7.0,19.0,51.0,6.5,9.0,23.0,51.0,12.0,17.0,41.0,81.0,201.0
25,jgigI5KH,19/08/2023,15:00,ARGENTINA - PRIMERA NACIONAL,CA Estudiantes,Atl. Rafaela,ROUND 26,2.5,3.1,3.0,1.53,2.38,1.11,6.5,1.5,2.5,2.5,1.5,5.0,1.17,11.0,1.05,2.1,1.67,2.5,1.5,1.43,2.75,6.5,7.0,13.0,29.0,6.5,6.0,12.0,29.0,11.0,11.0,19.0,41.0,26.0,23.0,41.0,67.0,201.0
26,QeBGJbY8,19/08/2023,15:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Ittihad,Al Taee,ROUND 2,1.18,5.75,13.0,1.25,3.75,1.03,10.5,1.14,5.0,1.48,2.6,2.1,1.67,3.75,1.25,2.2,1.62,1.19,4.5,,,15.0,34.0,67.0,151.0,9.0,12.0,41.0,101.0,6.5,11.0,26.0,81.0,7.0,12.0,34.0,67.0,201.0
27,n5CCKvJ2,19/08/2023,15:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Hilal,Al Feiha,ROUND 2,1.18,5.75,13.0,1.25,3.75,1.03,10.5,1.14,5.0,1.48,2.6,2.1,1.67,3.75,1.25,2.2,1.62,1.2,4.4,,,15.0,34.0,51.0,151.0,8.5,12.0,34.0,81.0,6.5,11.0,26.0,67.0,7.0,11.0,29.0,67.0,201.0
28,x2ovK9gI,19/08/2023,15:00,PERU - LIGA 1,Alianza Atl.,Union Comercio,CLAUSURA ,1.8,3.4,5.0,1.4,2.75,1.06,10.0,1.29,3.5,1.98,1.88,3.25,1.33,6.5,1.11,1.8,1.91,1.73,2.08,1.17,5.0,10.0,13.0,26.0,51.0,7.5,6.5,17.0,41.0,8.5,8.5,15.0,41.0,13.0,15.0,26.0,51.0,251.0
29,YiZUHyCk,19/08/2023,15:30,SERBIA - SUPER LIGA,Crvena zvezda,Sp. Subotica,ROUND 4,1.03,14.2,41.0,1.15,5.05,,,1.03,8.7,1.22,3.64,1.62,2.11,2.44,1.55,2.78,1.42,,,,,56.0,101.0,201.0,201.0,12.0,26.0,126.0,201.0,7.0,13.0,61.0,201.0,5.5,11.0,36.0,201.0,201.0
30,tE055uis,19/08/2023,15:45,ROMANIA - LIGA 1,FC Voluntari,Din. Bucuresti,ROUND 6,1.91,3.5,3.8,1.44,2.63,1.07,9.0,1.36,3.0,2.15,1.67,4.0,1.22,9.0,1.07,2.0,1.73,1.95,1.9,1.26,3.7,8.5,9.5,19.0,41.0,6.5,6.5,13.0,34.0,8.5,9.0,17.0,41.0,17.0,17.0,34.0,67.0,201.0
31,82wKyFua,19/08/2023,16:00,NETHERLANDS - EREDIVISIE,G.A. Eagles,FC Volendam,ROUND 2,1.67,4.0,5.0,1.29,3.5,1.03,15.0,1.18,4.5,1.6,2.3,2.5,1.5,4.33,1.2,1.62,2.2,1.63,2.25,1.19,4.5,15.0,17.0,29.0,51.0,9.0,7.5,15.0,34.0,9.5,8.5,13.0,34.0,13.0,12.0,21.0,41.0,151.0
32,vm1nOfcI,19/08/2023,16:00,BRAZIL - SERIE A,Internacional,Fortaleza,ROUND 20,2.1,3.3,3.5,1.5,2.5,1.08,8.0,1.4,3.0,2.3,1.62,4.33,1.22,9.0,1.07,2.0,1.75,2.13,1.75,1.3,3.45,8.0,9.0,17.0,41.0,6.5,6.0,13.0,34.0,9.0,9.5,17.0,41.0,19.0,19.0,34.0,51.0,401.0
33,Icj5gcDE,19/08/2023,16:00,ENGLAND - PREMIER LEAGUE,Manchester City,Newcastle,ROUND 2,1.67,4.0,5.0,1.33,3.25,1.04,13.0,1.22,4.33,1.73,2.1,2.75,1.44,5.0,1.17,1.75,2.0,1.65,2.2,1.2,4.4,13.0,15.0,29.0,51.0,9.0,8.5,17.0,41.0,9.5,9.0,17.0,41.0,15.0,15.0,26.0,51.0,251.0
