,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_Under45,FT_Odd_BTTS_No,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,p_H,p_D,p_A,p_Over,p_Under,p_under45,CV_HDA,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,prediction_label,prediction_score
11,SWEDEN - ALLSVENSKAN,08/10/2023,12:30,Varberg,Djurgarden,7.5,4.5,1.44,1.67,2.15,1.8,1.17,1.95,0.8,2.5,1.2,1.6,0.13333334,0.22222222,0.6944444,0.5988024,0.4651163,0.855,0.70356447,-0.4,0.9,0,0.674
12,SWEDEN - ALLSVENSKAN,08/10/2023,12:30,Hammarby,Hacken,2.55,3.5,2.7,1.6,2.3,1.53,1.2,2.38,1.9,1.3,1.0,1.7,0.39215687,0.2857143,0.37037036,0.625,0.4347826,0.833,0.13139762,0.9,-0.4,0,0.519
13,SPAIN - LALIGA2,08/10/2023,13:30,Tenerife,Burgos CF,1.8,3.25,5.25,2.5,1.5,2.25,1.05,1.57,1.7,0.4,0.7,1.6,0.5555556,0.30769232,0.1904762,0.4,0.6666667,0.952,0.4332945,1.0,-1.2,0,0.6532
14,SPAIN - LALIGA2,08/10/2023,13:30,Ferrol,FC Cartagena SAD,1.8,3.75,4.5,2.08,1.73,1.91,1.08,1.8,1.9,0.5,1.4,1.8,0.5555556,0.26666668,0.22222222,0.48076922,0.5780347,0.926,0.42446676,0.5,-1.3,0,0.739
15,SPAIN - PRIMERA RFEF,08/10/2023,14:00,Dep. La Coruna,Celta Vigo B,1.62,3.6,4.75,2.2,1.65,2.25,1.07,1.57,1.8,0.3,0.7,1.3,0.61728394,0.2777778,0.21052632,0.45454547,0.6060606,0.935,0.48307115,1.1,-1.0,0,0.7843
16,BELGIUM - CHALLENGER PRO LEAGUE,08/10/2023,14:15,Lierse K.,Deinze,3.1,3.8,1.91,1.57,2.35,1.53,1.22,2.38,1.2,1.5,1.0,1.4,0.32258064,0.2631579,0.5235602,0.6369427,0.42553192,0.82,0.30133018,0.2,0.1,0,0.6669
17,ARGENTINA - COPA DE LA LIGA PROFESIONAL,08/10/2023,14:30,Instituto,Gimnasia L.P.,1.95,3.1,4.5,2.5,1.5,2.2,1.05,1.62,0.7,0.7,0.9,1.6,0.51282054,0.32258064,0.22222222,0.4,0.6666667,0.952,0.3418409,-0.2,-0.9,0,0.7701
18,ARGENTINA - COPA DE LA LIGA PROFESIONAL,08/10/2023,14:30,Union de Santa Fe,Sarmiento Junin,1.91,3.4,4.33,2.6,1.48,2.25,1.04,1.57,1.0,0.5,0.5,1.1,0.5235602,0.29411766,0.23094688,0.3846154,0.6756757,0.962,0.35968035,0.5,-0.6,0,0.7162
19,SPAIN - PRIMERA RFEF,08/10/2023,15:00,Osasuna B,Lugo,2.2,3.1,3.2,2.5,1.5,2.2,1.04,1.62,1.7,0.9,0.4,1.7,0.45454547,0.32258064,0.3125,0.4,0.6666667,0.962,0.17817807,1.3,-0.8,0,0.6298
20,SPAIN - PRIMERA RFEF,08/10/2023,15:00,Recreativo Huelva,Malaga,3.2,3.1,2.2,2.5,1.5,2.25,1.04,1.57,1.3,0.4,1.2,1.5,0.3125,0.32258064,0.45454547,0.4,0.6666667,0.962,0.17817807,0.1,-1.1,0,0.5273
21,SPAIN - PRIMERA RFEF,08/10/2023,15:00,R. Sociedad B,Barcelona B,2.15,2.9,3.4,2.5,1.5,2.2,1.05,1.62,1.2,0.7,0.7,1.1,0.4651163,0.3448276,0.29411766,0.4,0.6666667,0.952,0.19485429,0.5,-0.4,0,0.5524
22,ARGENTINA - PRIMERA NACIONAL,08/10/2023,15:30,Aldosivi,Deportivo Maipu,2.9,3.1,2.63,2.25,1.62,1.91,1.06,1.8,1.2,1.1,1.0,1.2,0.3448276,0.32258064,0.38022813,0.44444445,0.61728394,0.943,0.06797537,0.2,-0.1,0,0.5671
23,SPAIN - LALIGA2,08/10/2023,16:00,Zaragoza,Alcorcon,1.85,3.2,5.0,2.5,1.5,2.25,1.05,1.57,1.6,0.5,1.3,0.8,0.5405405,0.3125,0.2,0.4,0.6666667,0.952,0.40359497,0.3,-0.3,0,0.6967
24,ARGENTINA - PRIMERA NACIONAL,08/10/2023,16:50,Chacarita Juniors,CA Estudiantes,1.36,4.33,12.0,2.08,1.73,2.63,1.08,1.44,1.5,0.4,1.0,1.7,0.7352941,0.23094688,0.083333336,0.48076922,0.5780347,0.926,0.79783016,0.5,-1.3,0,0.6364
25,ARGENTINA - PRIMERA NACIONAL,08/10/2023,18:00,Racing Cordoba,Gimnasia Jujuy,2.38,3.25,3.1,2.3,1.6,1.91,1.06,1.8,1.5,1.1,0.8,1.8,0.42016807,0.30769232,0.32258064,0.4347826,0.625,0.943,0.14246601,0.7,-0.7,0,0.661
