,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_Under45,FT_Odd_BTTS_No,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,p_H,p_D,p_A,p_Over,p_under45,CV_HDA,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,prediction_label,prediction_score
11,SPAIN - LALIGA2,25/11/2023,14:30,Albacete,Zaragoza,1.91,3.25,4.33,2.3,1.6,2.0,1.06,1.73,1.5,1.5,1.0,1.1,0.524,0.308,0.231,0.435,0.943,0.35,0.5,0.4,1,0.5209
12,BELGIUM - CHALLENGER PRO LEAGUE,25/11/2023,16:00,Francs Borains,Deinze,4.33,3.6,1.73,1.8,2.0,1.73,1.14,2.0,1.0,1.4,1.1,1.5,0.231,0.278,0.578,0.556,0.877,0.424,-0.1,-0.1,1,0.7999
13,BELGIUM - CHALLENGER PRO LEAGUE,25/11/2023,16:00,Waregem,Anderlecht U23,1.44,4.75,5.5,1.6,2.3,1.73,1.2,2.0,1.3,2.1,1.0,1.4,0.694,0.211,0.182,0.625,0.833,0.648,0.3,0.7,1,0.5061
14,BOLIVIA - DIVISION PROFESIONAL,25/11/2023,16:00,Santa Cruz,Universitario de Vinto,2.45,3.25,2.55,2.0,1.8,1.8,1.1,1.91,1.2,1.0,1.0,0.6,0.408,0.308,0.392,0.5,0.909,0.119,0.2,0.4,1,0.7214
15,SWITZERLAND - SUPER LEAGUE,25/11/2023,16:30,Yverdon,Lugano,2.88,4.2,2.15,1.67,2.15,1.62,1.17,2.2,1.5,1.2,1.8,2.2,0.347,0.238,0.465,0.599,0.855,0.265,-0.3,-1.0,1,0.6639
16,BELGIUM - JUPILER PRO LEAGUE,25/11/2023,16:45,St. Liege,Genk,3.6,3.75,1.91,1.6,2.3,1.57,1.2,2.25,1.2,1.5,1.9,0.9,0.278,0.267,0.524,0.625,0.833,0.333,-0.7,0.6,1,0.6666
17,ARGENTINA - COPA DE LA LIGA PROFESIONAL,25/11/2023,18:00,Velez Sarsfield,Colon Santa Fe,1.85,3.2,4.75,2.5,1.5,2.2,1.05,1.62,1.2,0.7,0.5,1.4,0.541,0.312,0.211,0.4,0.952,0.389,0.7,-0.7,1,0.5036
18,ARGENTINA - COPA DE LA LIGA PROFESIONAL,25/11/2023,18:00,Platense,Sarmiento Junin,2.1,3.2,3.75,2.6,1.48,2.2,1.04,1.62,0.8,0.4,0.3,1.3,0.476,0.312,0.267,0.385,0.962,0.255,0.5,-0.9,1,0.5989
19,BOLIVIA - DIVISION PROFESIONAL,25/11/2023,18:30,Guabira,Nacional Potosi,2.1,3.5,2.88,1.57,2.35,1.5,1.22,2.5,1.7,1.2,1.2,1.5,0.476,0.286,0.347,0.637,0.82,0.214,0.5,-0.3,1,0.6512
20,URUGUAY - PRIMERA DIVISION,25/11/2023,19:00,Maldonado,Defensor Sp.,3.5,3.1,2.2,2.1,1.7,1.83,1.08,1.83,0.8,0.7,1.0,1.1,0.286,0.323,0.455,0.476,0.926,0.205,-0.2,-0.4,1,0.6147
21,USA - MLS,25/11/2023,19:30,Orlando City,Columbus Crew,2.2,3.6,3.0,1.67,2.15,1.57,1.17,2.25,2.5,1.1,1.8,1.8,0.455,0.278,0.333,0.599,0.855,0.208,0.7,-0.7,1,0.5782
