,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_Ptos_H,DesvPad_Ptos_H,CV_VG_H,Media_Ptos_A,DesvPad_Ptos_A,CV_VG_A,p_H,p_D,p_A,p_Over,p_Under,CV_HDA,coeficiente_pontos,cv_pontos,prediction_label,prediction_score
67,ARGENTINA - PRIMERA NACIONAL,27/08/2023,16:00,CA Mitre,Dep. Riestra,2.63,3.0,2.9,2.6,1.48,2.1,1.67,1.6,1.4282857,0.88,1.4,1.1135529,0.445,0.38022813,0.33333334,0.3448276,0.3846154,0.6756757,0.056567278,0.2,2.542,1,0.7814
68,BRAZIL - SERIE A,27/08/2023,16:00,Atletico-MG,Santos,1.55,3.75,7.0,2.3,1.62,2.25,1.57,1.5,1.2845232,0.414,0.7,0.9,1.02,0.6451613,0.26666668,0.14285715,0.4347826,0.61728394,0.60777575,0.8,2.185,1,0.6661
69,CROATIA - HNL,27/08/2023,16:05,D. Zagreb,Rijeka,1.62,4.0,5.25,1.88,1.98,1.83,1.83,2.5,1.024695,0.646,1.7,1.3453624,0.794,0.61728394,0.25,0.1904762,0.5319149,0.5050505,0.53530127,0.8,2.37,1,0.5673
70,SPAIN - PRIMERA RFEF,27/08/2023,16:30,Granada CF B,Murcia,3.0,3.0,2.2,2.4,1.53,2.1,1.67,2.3,1.1,0.701,1.3,1.1874342,0.922,0.33333334,0.33333334,0.45454547,0.41666666,0.6535948,0.15288796,1.0,2.287,1,0.6774
71,SPAIN - PRIMERA RFEF,27/08/2023,16:30,Recreativo Huelva,CF Intercity,2.25,2.88,3.1,2.5,1.5,2.1,1.67,2.1,1.1357816,0.625,1.2,1.2489996,0.73,0.44444445,0.3472222,0.32258064,0.4,0.6666667,0.14164674,0.9,2.385,1,0.5579
72,SPAIN - PRIMERA RFEF,27/08/2023,16:30,Ponferradina,Celta Vigo B,1.83,3.1,4.0,2.4,1.53,2.2,1.62,1.2,1.2489996,1.143,1.2,1.2489996,1.273,0.5464481,0.32258064,0.25,0.41666666,0.6535948,0.33824423,0.0,2.498,1,0.5067
73,SPAIN - PRIMERA RFEF,27/08/2023,16:30,Cordoba,UD Ibiza,2.45,3.0,2.75,2.5,1.5,2.1,1.67,0.7,0.9,0.624,0.7,0.9,1.307,0.40816328,0.33333334,0.36363637,0.4,0.6666667,0.0834269,0.0,1.8,1,0.6213
74,ARGENTINA - PRIMERA NACIONAL,27/08/2023,16:30,Chaco For Ever,Ferro,2.38,3.25,3.0,2.6,1.48,2.2,1.62,1.6,1.2,0.96,1.6,1.4282857,0.797,0.42016807,0.30769232,0.33333334,0.3846154,0.6756757,0.13606395,0.0,2.628,1,0.6775
75,SPAIN - PRIMERA RFEF,27/08/2023,16:30,SD Logrones,Barcelona B,2.45,2.9,2.7,2.1,1.7,1.83,1.83,1.7,1.1,0.925,1.4,1.1135529,0.712,0.40816328,0.3448276,0.37037036,0.47619048,0.5882353,0.06948094,0.3,2.214,1,0.5023
76,SPAIN - LALIGA2,27/08/2023,16:30,Leganes,Albacete,2.4,3.0,3.3,2.6,1.48,2.1,1.67,1.5,1.2845232,0.917,1.4,1.1135529,0.776,0.41666666,0.33333334,0.3030303,0.3846154,0.6756757,0.13687983,0.1,2.398,1,0.6087
