,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
72,CROATIA - HNL,2024-03-30,15:30,Hajduk Split,D. Zagreb,2.38,3.3,2.75,2.05,1.83,1.83
73,ROMANIA - LIGA 1,2024-03-30,16:00,Univ. Craiova,FC Rapid Bucuresti,2.2,3.5,3.2,1.85,1.67,2.1
74,SPAIN - PRIMERA RFEF,2024-03-30,16:00,Antequera,Alcoyano,2.1,3.1,3.2,2.5,2.2,1.62
75,URUGUAY - PRIMERA DIVISION,2024-03-30,16:00,Liverpool M.,River Plate,1.95,3.1,4.0,2.15,1.91,1.8
76,POLAND - EKSTRAKLASA,2024-03-30,16:00,Pogon Szczecin,Cracovia,1.85,3.6,4.2,1.8,1.7,2.05
77,BOLIVIA - DIVISION PROFESIONAL,2024-03-30,16:00,SA Bulo Bulo,Tomayapo,1.73,3.5,4.0,1.95,1.83,1.83
78,ARGENTINA - PRIMERA NACIONAL,2024-03-30,16:00,Temperley,Defensores Unidos,1.91,3.0,5.25,2.88,2.38,1.53
79,SWITZERLAND - SUPER LEAGUE,2024-03-30,16:30,Basel,Zurich,2.55,3.4,2.63,2.0,1.73,2.0
80,ITALY - SERIE C,2024-03-30,16:45,Audace Cerignola,Turris,2.0,3.15,3.8,2.25,1.95,1.75
81,ITALY - SERIE C,2024-03-30,16:45,Pineto,Recanatese,1.85,3.35,4.2,2.15,1.93,1.78
82,BELGIUM - JUPILER PRO LEAGUE,2024-03-30,16:45,Anderlecht,Antwerp,2.3,3.4,3.0,1.8,1.67,2.1
83,ITALY - SERIE C,2024-03-30,16:45,Avellino,Picerno,1.75,3.3,4.75,2.22,2.05,1.7
84,ARGENTINA - COPA DE LA LIGA PROFESIONAL,2024-03-30,17:00,Boca Juniors,San Lorenzo,2.0,3.1,4.33,2.88,2.5,1.5
85,COLOMBIA - PRIMERA A,2024-03-30,18:10,Dep. Pasto,Once Caldas,2.5,2.9,3.3,2.7,2.2,1.62
86,BOLIVIA - DIVISION PROFESIONAL,2024-03-30,18:30,Guabira,Universitario de Vinto,2.2,3.3,3.0,2.0,1.8,1.91
87,VENEZUELA - LIGA FUTVE,2024-03-30,18:45,Caracas,Inter de Barinas,1.55,3.6,5.9,2.07,2.12,1.57
88,URUGUAY - PRIMERA DIVISION,2024-03-30,19:00,Defensor Sp.,Danubio,1.85,3.3,4.0,2.15,1.91,1.8
89,COLOMBIA - PRIMERA A,2024-03-30,20:20,Chico,Jaguares de Cordoba,1.8,3.6,4.75,2.35,2.2,1.62
90,USA - MLS,2024-03-30,20:30,Orlando City,New York Red Bulls,2.25,3.2,3.4,2.05,1.8,1.95
91,USA - MLS,2024-03-30,20:30,Inter Miami,New York City,2.0,3.6,3.6,1.83,1.67,2.1
92,USA - MLS,2024-03-30,20:30,Charlotte,FC Cincinnati,2.2,3.5,3.2,2.05,1.8,1.95
93,USA - MLS,2024-03-30,20:30,DC United,CF Montreal,1.73,4.2,4.2,1.7,1.7,2.05
94,AUSTRALIA - A-LEAGUE,2024-03-30,21:00,Wellington Phoenix,Brisbane Roar,2.05,3.6,3.5,1.62,1.53,2.38
95,ARGENTINA - COPA DE LA LIGA PROFESIONAL,2024-03-30,21:00,Talleres Cordoba,Velez Sarsfield,2.05,3.25,4.0,2.2,1.91,1.8
96,USA - MLS,2024-03-30,21:30,Houston Dynamo,San Jose Earthquakes,1.83,3.5,4.5,1.98,1.8,1.95
97,USA - MLS,2024-03-30,21:30,Austin FC,FC Dallas,2.75,3.3,2.63,1.93,1.7,2.05
98,MEXICO - LIGA MX,2024-03-30,22:00,Pachuca,Toluca,2.3,3.8,2.88,1.53,1.5,2.5
99,MEXICO - LIGA MX,2024-03-30,22:00,Monterrey,Guadalajara Chivas,1.73,3.75,4.75,1.88,1.8,1.95
100,USA - MLS,2024-03-30,22:30,Real Salt Lake,St. Louis City,1.8,3.8,4.33,1.62,1.62,2.2
101,COLOMBIA - PRIMERA A,2024-03-30,22:30,Fortaleza,Millonarios,2.05,3.3,3.6,2.4,2.1,1.67
102,USA - MLS,2024-03-30,23:30,Vancouver Whitecaps,Portland Timbers,1.91,3.8,3.8,1.67,1.62,2.2
103,USA - MLS,2024-03-30,23:30,Los Angeles Galaxy,Seattle Sounders,1.91,3.6,4.0,1.7,1.67,2.1
