,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_Under45,FT_Odd_BTTS_No,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,p_H,p_D,p_A,p_Over,p_under45,CV_HDA,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,prediction_label,prediction_score
11,SWEDEN - SUPERETTAN,08/10/2023,10:00,Sundsvall,Brage,3.1,3.5,2.2,1.67,2.15,1.57,1.17,2.25,1.3,1.8,0.6,1.7,0.323,0.286,0.455,0.599,0.855,0.205,0.7,0.1,1,0.5808
12,SWEDEN - ALLSVENSKAN,08/10/2023,10:00,Brommapojkarna,Elfsborg,3.5,3.75,2.0,1.57,2.35,1.53,1.2,2.38,1.2,1.3,2.0,1.1,0.286,0.267,0.5,0.637,0.833,0.301,-0.8,0.2,1,0.6728
13,SPAIN - PRIMERA RFEF,08/10/2023,11:00,Leonesa,Rayo Majadahonda,1.7,3.5,4.5,2.2,1.65,2.1,1.07,1.67,0.7,1.0,0.5,1.9,0.588,0.286,0.222,0.455,0.935,0.437,0.2,-0.9,1,0.5453
14,SWITZERLAND - SUPER LEAGUE,08/10/2023,11:30,Lausanne,Luzern,2.6,3.5,2.63,1.57,2.35,1.5,1.2,2.5,1.4,1.4,1.3,1.3,0.385,0.286,0.38,0.637,0.833,0.13,0.1,0.1,1,0.5526
15,SWITZERLAND - SUPER LEAGUE,08/10/2023,11:30,Young Boys,Basel,1.5,5.0,5.5,1.4,2.88,1.57,1.3,2.25,3.1,1.0,1.7,2.2,0.667,0.2,0.182,0.714,0.769,0.642,1.4,-1.2,1,0.7535
16,SPAIN - PRIMERA RFEF,08/10/2023,12:00,Sabadell,Fuenlabrada,2.0,3.2,3.6,2.5,1.5,2.2,1.05,1.62,1.6,1.0,0.7,1.8,0.5,0.312,0.278,0.4,0.952,0.269,0.9,-0.8,1,0.5658
17,SPAIN - PRIMERA RFEF,08/10/2023,13:00,Atl. Madrid B,San Fernando,2.0,3.0,4.0,2.35,1.57,2.1,1.06,1.67,1.6,0.6,1.3,1.7,0.5,0.333,0.25,0.426,0.943,0.288,0.3,-1.1,1,0.555
18,URUGUAY - PRIMERA DIVISION,08/10/2023,13:00,Plaza Colonia,Danubio,3.4,3.25,2.15,2.2,1.65,1.91,1.07,1.8,1.6,1.5,1.1,1.7,0.294,0.308,0.465,0.455,0.935,0.218,0.5,-0.2,1,0.5811
19,SLOVAKIA - NIKE LIGA,08/10/2023,13:00,Banska Bystrica,Trnava,2.9,3.25,2.4,1.85,1.98,1.62,1.14,2.15,1.6,1.6,1.1,1.9,0.345,0.308,0.417,0.541,0.877,0.127,0.5,-0.3,1,0.5992
20,BELGIUM - JUPILER PRO LEAGUE,08/10/2023,13:30,Gent,Genk,2.15,3.6,3.1,1.57,2.35,1.5,1.22,2.5,2.0,1.4,1.5,1.2,0.465,0.278,0.323,0.637,0.82,0.224,0.5,0.2,1,0.7163
21,BELGIUM - JUPILER PRO LEAGUE,08/10/2023,14:15,St. Truiden,Royale Union SG,4.0,3.75,1.83,1.73,2.08,1.7,1.14,2.05,1.1,1.1,1.6,1.3,0.25,0.267,0.546,0.578,0.877,0.383,-0.5,-0.2,1,0.621
22,ARGENTINA - PRIMERA NACIONAL,08/10/2023,15:00,San Martin T.,Almirante Brown,1.95,3.25,4.33,2.6,1.48,2.25,1.04,1.57,1.7,0.3,0.8,1.5,0.513,0.308,0.231,0.385,0.962,0.339,0.9,-1.2,1,0.5016
23,ARGENTINA - PRIMERA NACIONAL,08/10/2023,15:30,Dep. Riestra,Ferro,2.2,3.2,3.5,2.35,1.57,2.0,1.06,1.73,1.1,0.6,1.4,1.5,0.455,0.312,0.286,0.426,0.943,0.212,-0.3,-0.9,1,0.5017
24,ARGENTINA - PRIMERA NACIONAL,08/10/2023,15:30,CA Mitre,Atl. Rafaela,2.05,3.1,4.2,2.4,1.53,2.1,1.05,1.67,1.5,0.8,1.4,1.0,0.488,0.323,0.238,0.417,0.952,0.297,0.1,-0.2,1,0.5658
25,ARGENTINA - PRIMERA NACIONAL,08/10/2023,15:30,Defensores Unidos,Flandria,1.85,3.5,4.2,2.7,1.44,2.5,1.04,1.5,0.6,0.3,0.7,2.4,0.541,0.286,0.238,0.37,0.962,0.375,-0.1,-2.1,1,0.6151
26,ARGENTINA - COPA DE LA LIGA PROFESIONAL,08/10/2023,16:45,River Plate,Talleres Cordoba,1.57,3.8,6.5,1.9,1.95,1.91,1.13,1.8,1.9,0.6,1.5,1.0,0.637,0.263,0.154,0.526,0.885,0.589,0.4,-0.4,1,0.6816
27,BOLIVIA - DIVISION PROFESIONAL,08/10/2023,18:30,Wilstermann,Bolivar,2.88,3.25,2.25,1.85,1.95,1.67,1.13,2.1,1.5,0.5,0.4,0.9,0.347,0.308,0.444,0.541,0.885,0.156,1.1,-0.4,1,0.6758
28,ARGENTINA - COPA DE LA LIGA PROFESIONAL,08/10/2023,18:45,Racing Club,Platense,1.91,3.3,4.5,2.3,1.6,2.0,1.06,1.73,1.7,1.4,0.8,1.7,0.524,0.303,0.222,0.435,0.943,0.365,0.9,-0.3,1,0.6291
