,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
11,niocqzOT,20/08/2023,16:05,CROATIA - HNL,Rijeka,Lok. Zagreb,ROUND 5,1.5,4.2,5.75,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,2.75,1.4,5.5,1.14,1.83,1.83,1.53,2.43,1.16,5.25,13.0,15.0,29.0,51.0,7.5,8.0,17.0,41.0,7.5,8.5,17.0,41.0,11.0,12.0,23.0,51.0,251.0
12,GvLyxOHA,20/08/2023,16:30,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,Velez Mostar,Siroki Brijeg,ROUND 4,1.82,3.5,3.81,1.47,2.32,,,1.38,2.57,2.25,1.62,3.55,1.21,,,1.98,1.65,,,,,,,,,,,,,,,,,,,,,
13,GGdUN9jt,20/08/2023,17:00,ARGENTINA - PRIMERA NACIONAL,Racing Cordoba,CA Mitre,ROUND 26,2.0,3.4,3.8,1.53,2.38,1.08,8.0,1.5,2.5,2.5,1.5,5.0,1.17,11.0,1.05,2.2,1.62,2.03,1.83,1.28,3.55,7.0,8.0,17.0,41.0,5.5,6.5,13.0,41.0,8.0,9.5,21.0,41.0,17.0,19.0,41.0,81.0,201.0
14,4Selx1sT,20/08/2023,20:15,PANAMA - LPF,Miguelito,Potros del Este,CLAUSURA ,1.67,3.74,4.69,1.36,2.9,,,1.25,3.42,1.86,1.92,3.04,1.31,6.2,1.09,1.79,1.98,,,,,,,,,,,,,,,,,,,,,
15,ImDdPghE,20/08/2023,21:00,COSTA RICA - PRIMERA DIVISION,Liberia,Grecia,APERTURA ,1.73,3.6,4.2,1.3,3.4,1.03,15.0,1.2,4.33,1.67,2.15,2.63,1.44,5.0,1.17,1.62,2.2,1.78,2.03,1.23,4.0,15.0,15.0,23.0,41.0,9.0,7.5,15.0,34.0,9.5,8.5,13.0,34.0,15.0,13.0,21.0,41.0,151.0
16,zih5kXDT,20/08/2023,21:30,USA - MLS,Houston Dynamo,Portland Timbers,-,1.91,3.6,3.8,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,2.75,1.4,5.5,1.14,1.67,2.1,1.85,2.0,1.24,3.9,13.0,13.0,21.0,41.0,8.5,7.0,13.0,29.0,10.0,8.5,13.0,34.0,17.0,15.0,23.0,41.0,151.0
17,nV7LiNfc,20/08/2023,23:30,USA - MLS,Los Angeles FC,Colorado Rapids,-,1.45,4.5,6.5,1.29,3.5,1.03,15.0,1.17,5.0,1.57,2.35,2.38,1.53,4.33,1.2,1.8,1.95,1.43,2.75,1.12,6.4,15.0,19.0,34.0,67.0,8.5,8.5,19.0,41.0,7.5,8.5,17.0,41.0,10.0,11.0,23.0,51.0,201.0
18,8v9Hh3ui,20/08/2023,23:30,USA - MLS,Los Angeles Galaxy,Real Salt Lake,-,2.15,3.6,3.1,1.25,3.75,1.03,17.0,1.14,5.5,1.5,2.5,2.2,1.62,3.75,1.25,1.44,2.63,2.1,1.7,1.38,3.0,19.0,15.0,21.0,34.0,12.0,7.5,12.0,21.0,13.0,9.5,11.0,23.0,21.0,15.0,19.0,29.0,81.0
19,G4CPjsA3,20/08/2023,23:30,USA - MLS,Seattle Sounders,Atlanta Utd,-,1.85,3.6,4.0,1.36,3.0,1.04,13.0,1.25,3.75,1.85,2.0,3.0,1.36,6.0,1.13,1.75,2.0,1.9,1.95,1.28,3.55,12.0,12.0,21.0,41.0,8.0,7.0,13.0,29.0,9.5,8.5,15.0,34.0,17.0,15.0,23.0,41.0,201.0
20,GSdXSXIk,20/08/2023,23:30,USA - MLS,Vancouver Whitecaps,San Jose Earthquakes,-,1.8,3.8,4.2,1.3,3.4,1.03,15.0,1.2,4.33,1.65,2.2,2.63,1.44,4.5,1.18,1.62,2.2,1.75,2.05,1.23,4.0,15.0,15.0,23.0,41.0,9.0,7.5,13.0,29.0,9.5,8.5,13.0,34.0,15.0,13.0,21.0,41.0,151.0
