,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_Under45,FT_Odd_BTTS_No,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,p_H,p_D,p_A,p_Over,p_Under,p_under45,CV_HDA,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,prediction_label,prediction_score
12,ARGENTINA - PRIMERA NACIONAL,02/09/2023,13:10,Brown Adrogue,Deportivo Maipu,2.7,2.88,3.0,2.6,1.48,2.1,1.04,1.67,1.1,0.4,1.2,0.9,0.37037036,0.3472222,0.33333334,0.3846154,0.6756757,0.962,0.04361011,-0.1,-0.5,0,0.5345
13,SPAIN - LALIGA2,02/09/2023,13:30,Levante,R. Oviedo,1.8,3.4,5.0,2.5,1.5,2.25,1.05,1.57,1.3,0.6,0.8,0.9,0.5555556,0.29411766,0.2,0.4,0.6666667,0.952,0.42989686,0.5,-0.3,0,0.6841
14,AUSTRIA - BUNDESLIGA,02/09/2023,14:30,Altach,Sturm Graz,6.0,4.33,1.53,1.7,2.1,1.8,1.17,1.95,0.5,1.1,1.8,1.0,0.16666667,0.23094688,0.6535948,0.5882353,0.47619048,0.855,0.61640275,-1.3,0.1,0,0.7832
15,ARGENTINA - COPA DE LA LIGA PROFESIONAL,02/09/2023,15:00,Gimnasia L.P.,Independiente,2.8,2.8,3.0,2.6,1.48,2.1,1.04,1.67,1.1,1.0,1.0,1.1,0.35714287,0.35714287,0.33333334,0.3846154,0.6756757,0.962,0.032141216,0.1,-0.1,0,0.8333
16,BELGIUM - CHALLENGER PRO LEAGUE,02/09/2023,15:00,Oostende,Seraing,2.6,3.4,2.38,1.73,2.08,1.62,1.14,2.2,1.0,1.9,0.8,2.7,0.3846154,0.29411766,0.42016807,0.5780347,0.48076922,0.877,0.144866,0.2,-0.8,0,0.6465
17,ARGENTINA - PRIMERA NACIONAL,02/09/2023,15:00,CA Estudiantes,Villa Dalmine,1.36,4.2,11.0,2.1,1.7,2.5,1.08,1.5,1.0,1.2,0.4,1.8,0.7352941,0.23809524,0.09090909,0.47619048,0.5882353,0.926,0.77713627,0.6,-0.6,0,0.5537
18,SPAIN - PRIMERA RFEF,02/09/2023,15:30,Celta Vigo B,Tarazona,1.53,3.6,6.0,2.15,1.67,2.25,1.08,1.57,1.4,0.7,1.3,1.2,0.6535948,0.2777778,0.16666667,0.4651163,0.5988024,0.926,0.5692387,0.1,-0.5,0,0.5619
19,SPAIN - PRIMERA RFEF,02/09/2023,15:30,Murcia,Cordoba,2.1,3.0,3.3,2.25,1.62,1.91,1.07,1.8,1.2,0.6,0.5,1.0,0.47619048,0.33333334,0.3030303,0.44444445,0.61728394,0.935,0.20360273,0.7,-0.4,0,0.5456
20,ARGENTINA - PRIMERA NACIONAL,02/09/2023,15:30,Flandria,Temperley,3.0,3.1,2.5,2.6,1.48,2.1,1.04,1.67,1.3,1.5,0.8,1.4,0.33333334,0.32258064,0.4,0.3846154,0.6756757,0.962,0.09729182,0.5,0.1,0,0.6157
21,SPAIN - PRIMERA RFEF,02/09/2023,15:30,Unionistas,Leonesa,2.25,3.0,3.0,2.5,1.5,2.1,1.05,1.67,1.1,0.3,0.5,1.4,0.44444445,0.33333334,0.33333334,0.4,0.6666667,0.952,0.14142136,0.6,-1.1,0,0.7271
22,SPAIN - PRIMERA RFEF,02/09/2023,15:30,Sanluqueno,Merida AD,2.45,3.0,2.63,2.4,1.53,2.1,1.05,1.67,1.9,0.7,0.9,0.8,0.40816328,0.33333334,0.38022813,0.41666666,0.6535948,0.952,0.08257192,1.0,-0.1,0,0.6261
23,SPAIN - PRIMERA RFEF,02/09/2023,15:30,Linares,Granada CF B,2.2,2.9,3.2,2.1,1.7,1.83,1.08,1.83,1.8,1.2,1.1,0.5,0.45454547,0.3448276,0.3125,0.47619048,0.5882353,0.926,0.16402343,0.7,0.7,0,0.6282
24,SPAIN - LALIGA2,02/09/2023,16:00,Elche,Racing Santander,1.83,3.4,4.75,2.35,1.57,2.1,1.06,1.67,1.2,1.4,0.8,1.6,0.5464481,0.29411766,0.21052632,0.42553192,0.6369427,0.943,0.4075484,0.4,-0.2,0,0.5798
25,SPAIN - PRIMERA RFEF,02/09/2023,16:30,Lugo,Dep. La Coruna,3.2,2.8,2.3,2.4,1.53,2.1,1.05,1.67,0.5,1.1,0.8,1.0,0.3125,0.35714287,0.4347826,0.41666666,0.6535948,0.952,0.13724023,-0.3,0.1,0,0.6997
26,SPAIN - PRIMERA RFEF,02/09/2023,16:30,Rayo Majadahonda,Gimnastic,2.9,3.0,2.3,2.5,1.5,2.2,1.05,1.62,1.3,0.9,0.7,1.1,0.3448276,0.33333334,0.4347826,0.4,0.6666667,0.952,0.12226445,0.6,-0.2,0,0.5443
27,SPAIN - PRIMERA RFEF,02/09/2023,16:30,UD Ibiza,Baleares,1.83,3.0,4.33,2.25,1.62,2.1,1.07,1.67,1.1,1.8,1.1,1.4,0.5464481,0.33333334,0.23094688,0.44444445,0.61728394,0.935,0.35495737,0.0,0.4,0,0.572
28,ARGENTINA - COPA DE LA LIGA PROFESIONAL,02/09/2023,16:30,Lanus,Godoy Cruz,2.0,3.25,4.0,2.4,1.53,2.1,1.05,1.67,1.5,0.6,0.9,1.5,0.5,0.30769232,0.25,0.41666666,0.6535948,0.952,0.3031515,0.6,-0.9,0,0.6452
29,ARGENTINA - PRIMERA NACIONAL,02/09/2023,17:10,Patronato,All Boys,1.75,3.3,5.5,2.5,1.5,2.25,1.05,1.57,1.4,0.8,0.6,1.4,0.5714286,0.3030303,0.18181819,0.4,0.6666667,0.952,0.46237063,0.8,-0.6,0,0.617
30,ARGENTINA - COPA DE LA LIGA PROFESIONAL,02/09/2023,19:00,Huracan,Colon Santa Fe,2.1,3.0,4.0,2.6,1.48,2.2,1.04,1.62,0.4,1.0,0.5,1.2,0.47619048,0.33333334,0.25,0.3846154,0.6756757,0.962,0.26446298,-0.1,-0.2,0,0.9286
31,ARGENTINA - PRIMERA NACIONAL,02/09/2023,19:10,Quilmes,Ind. Rivadavia,2.45,3.1,3.1,2.35,1.57,2.0,1.05,1.73,1.4,0.9,1.8,1.4,0.40816328,0.32258064,0.32258064,0.42553192,0.6369427,0.952,0.11490485,-0.4,-0.5,0,0.651
32,ARGENTINA - COPA DE LA LIGA PROFESIONAL,02/09/2023,21:30,Velez Sarsfield,River Plate,4.2,3.3,1.95,2.15,1.67,1.91,1.07,1.8,1.1,0.7,1.6,1.6,0.23809524,0.3030303,0.51282054,0.4651163,0.5988024,0.935,0.3337112,-0.5,-0.9,0,0.5703
