,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
12,63KVp0OQ,20/08/2023,12:00,SPAIN - LALIGA2,R. Oviedo,Ferrol,ROUND 2,2.05,3.0,4.33,1.62,2.2,1.13,6.0,1.53,2.38,2.7,1.44,5.5,1.14,13.0,1.04,2.25,1.57,2.05,1.8,1.23,4.0,6.0,8.5,19.0,41.0,5.5,6.0,15.0,41.0,8.0,10.0,21.0,51.0,17.0,21.0,41.0,81.0,201.0
13,YeN2WVle,20/08/2023,12:00,SERBIA - PRVA LIGA,Jedinstvo U.,OFK Beograd,ROUND 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,WIcpNBjA,20/08/2023,12:30,SLOVENIA - PRVA LIGA,Rogaska,Maribor,ROUND 5,6.4,4.75,1.45,1.25,3.7,1.01,17.5,1.14,4.7,1.5,2.35,2.36,1.59,3.84,1.2,1.69,2.11,,,,,12.0,6.5,6.5,8.5,15.0,7.0,6.0,8.5,31.0,15.0,12.0,15.0,91.0,41.0,41.0,46.0,201.0
15,AuVTTaLG,20/08/2023,13:00,BULGARIA - PARVA LIGA,Botev Plovdiv,Krumovgrad,ROUND 6,1.57,4.2,5.5,1.4,2.75,1.05,11.0,1.3,3.4,2.0,1.85,3.5,1.29,7.0,1.1,2.0,1.73,1.55,2.38,1.16,5.25,10.0,13.0,29.0,67.0,6.5,8.0,17.0,41.0,7.0,8.5,19.0,51.0,11.0,13.0,29.0,67.0,201.0
16,x2k1Vrzn,20/08/2023,13:00,MONTENEGRO - PRVA CRNOGORSKA LIGA,Rudar,Mladost DG,ROUND 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,ChBgMtnQ,20/08/2023,14:00,MOLDOVA - SUPER LIGA,Sheriff Tiraspol,Dacia Buiucani,ROUND 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,bBjcWOKu,20/08/2023,15:00,MONTENEGRO - PRVA CRNOGORSKA LIGA,Decic,Mornar Bar,ROUND 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,fVJuyrXG,20/08/2023,15:00,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,Zrinjski,GOSK Gabela,ROUND 4,1.1,8.5,21.0,,,,,,,1.44,2.7,2.0,1.65,3.05,1.28,2.32,1.47,,,,,,,,,,,,,,,,,,,,,
20,nNXdNcbp,20/08/2023,15:15,BULGARIA - PARVA LIGA,Levski Sofia,Pirin Blagoevgrad,ROUND 6,1.17,7.0,17.0,1.29,3.5,1.04,13.0,1.18,4.5,1.62,2.25,2.5,1.5,4.5,1.18,2.63,1.44,1.17,5.0,,,13.0,29.0,67.0,251.0,6.5,13.0,41.0,126.0,5.5,11.0,34.0,101.0,6.5,12.0,41.0,126.0,201.0
21,U5JVRKHl,20/08/2023,17:00,SPAIN - LALIGA2,Albacete,Amorebieta,ROUND 2,1.62,3.6,6.5,1.57,2.25,1.11,6.5,1.5,2.5,2.5,1.5,5.0,1.17,13.0,1.04,2.5,1.5,1.6,2.3,1.14,5.75,6.5,11.0,29.0,67.0,4.75,7.5,21.0,51.0,6.0,9.5,26.0,67.0,11.0,17.0,41.0,101.0,201.0
22,GGdUN9jt,20/08/2023,17:00,ARGENTINA - PRIMERA NACIONAL,Racing Cordoba,CA Mitre,ROUND 26,2.0,3.4,3.8,1.53,2.38,1.08,8.0,1.5,2.5,2.5,1.5,5.0,1.17,11.0,1.05,2.2,1.62,2.03,1.83,1.28,3.55,7.0,8.0,17.0,41.0,5.5,6.5,13.0,41.0,8.0,9.5,21.0,41.0,17.0,19.0,41.0,81.0,201.0
23,I7wrdBkL,20/08/2023,17:40,VENEZUELA - LIGA FUTVE,Metropolitanos,Caracas,ROUND 24,3.16,3.2,2.27,1.48,2.54,1.04,7.4,1.38,2.71,2.27,1.63,4.05,1.18,7.9,1.03,1.9,1.86,,,,,6.5,6.0,8.5,17.0,7.5,5.0,7.5,15.0,12.0,9.5,11.0,26.0,31.0,23.0,34.0,76.0,201.0
24,OddrAIkA,20/08/2023,18:00,DOMINICAN REPUBLIC - LDF,Atletico Pantoja,Vega Real,WINNERS STAGE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,OC0TtPSc,20/08/2023,18:00,PANAMA - LPF,Tauro,Alianza,CLAUSURA ,1.65,3.46,5.43,1.5,2.42,1.09,6.3,1.43,2.54,2.39,1.56,4.4,1.16,7.85,1.05,2.23,1.62,,,,,,,,,,,,,,,,,,,,,
