,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_Under45,FT_Odd_BTTS_No,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,p_H,p_D,p_A,p_Over,p_under45,CV_HDA,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,prediction_label,prediction_score
14,BELGIUM - JUPILER PRO LEAGUE,26/08/2023,15:45,Kortrijk,St. Liege,3.1,3.4,2.2,1.7,2.1,1.57,1.17,2.25,1.1,1.6,1.3,1.8,0.323,0.294,0.455,0.588,0.855,0.196,-0.2,-0.2,1,0.5101
15,BOLIVIA - DIVISION PROFESIONAL,26/08/2023,16:00,Libertad Gran Mamore,Palmaflor,2.2,3.4,3.3,1.75,2.05,1.62,1.14,2.2,1.4,1.0,1.0,2.2,0.455,0.294,0.303,0.571,0.877,0.211,0.4,-1.2,1,0.7127
16,ARGENTINA - COPA DE LA LIGA PROFESIONAL,26/08/2023,16:30,Estudiantes L.P.,Union de Santa Fe,2.4,2.9,3.4,2.5,1.5,2.0,1.05,1.73,1.6,0.5,0.6,1.1,0.417,0.345,0.294,0.4,0.952,0.143,1.0,-0.6,1,0.5447
17,SPAIN - LALIGA2,26/08/2023,16:30,Elche,Villarreal B,1.57,3.75,7.0,2.05,1.75,2.1,1.08,1.67,1.3,1.4,0.9,1.3,0.637,0.267,0.143,0.488,0.926,0.601,0.4,0.1,1,0.5406
18,URUGUAY - PRIMERA DIVISION,26/08/2023,18:00,Cerro Largo,Nacional,4.33,3.25,1.75,2.1,1.7,2.0,1.08,1.73,0.9,1.1,1.5,1.2,0.231,0.308,0.571,0.476,0.926,0.393,-0.6,-0.1,1,0.5986
19,USA - MLS,26/08/2023,20:30,Atlanta Utd,Nashville SC,2.1,3.4,3.5,1.73,2.08,1.62,1.14,2.2,2.4,1.2,0.9,1.1,0.476,0.294,0.286,0.578,0.877,0.249,1.5,0.1,1,0.5517
20,USA - MLS,26/08/2023,20:30,CF Montreal,New England Revolution,2.1,3.6,3.4,1.7,2.1,1.57,1.17,2.25,1.5,0.5,1.2,1.6,0.476,0.278,0.294,0.588,0.855,0.257,0.3,-1.1,1,0.6128
21,USA - MLS,26/08/2023,20:30,Charlotte,Los Angeles FC,3.0,3.4,2.3,1.7,2.1,1.57,1.17,2.25,1.3,1.5,1.1,1.4,0.333,0.294,0.435,0.588,0.855,0.168,0.2,0.1,1,0.5897
22,USA - MLS,26/08/2023,20:30,Columbus Crew,Toronto FC,1.36,4.75,8.0,1.48,2.6,1.75,1.25,2.0,2.2,1.1,0.5,1.8,0.735,0.211,0.125,0.676,0.8,0.755,1.7,-0.7,1,0.6386
23,USA - MLS,26/08/2023,20:30,DC United,Philadelphia Union,2.45,3.4,2.88,1.88,1.98,1.67,1.13,2.1,1.8,1.2,1.4,1.7,0.408,0.294,0.347,0.532,0.885,0.133,0.4,-0.5,1,0.5533
24,USA - MLS,26/08/2023,20:30,FC Cincinnati,New York City,1.91,3.5,4.2,1.75,2.05,1.67,1.14,2.1,1.9,0.6,0.9,1.1,0.524,0.286,0.238,0.571,0.877,0.358,1.0,-0.5,1,0.5887
25,USA - MLS,26/08/2023,20:30,New York Red Bulls,Inter Miami,2.3,3.6,2.8,1.7,2.1,1.62,1.17,2.2,1.4,1.2,0.7,1.8,0.435,0.278,0.357,0.588,0.855,0.18,0.7,-0.6,1,0.6084
26,ARGENTINA - COPA DE LA LIGA PROFESIONAL,26/08/2023,21:30,Tigre,Racing Club,1.95,3.3,4.2,2.1,1.7,1.91,1.08,1.8,1.0,1.1,1.3,1.5,0.513,0.303,0.238,0.476,0.926,0.334,-0.3,-0.4,1,0.7753
27,USA - MLS,26/08/2023,21:30,Sporting Kansas City,San Jose Earthquakes,1.62,4.0,5.25,1.67,2.15,1.7,1.17,2.05,1.8,1.3,0.9,1.8,0.617,0.25,0.19,0.599,0.855,0.536,0.9,-0.5,1,0.5106
28,USA - MLS,26/08/2023,21:30,FC Dallas,Austin FC,2.05,3.4,3.6,1.83,2.03,1.67,1.14,2.1,1.6,0.9,1.2,2.0,0.488,0.294,0.278,0.546,0.877,0.27,0.4,-1.1,1,0.6777
29,USA - MLS,26/08/2023,23:30,Los Angeles Galaxy,Chicago Fire,1.85,4.0,3.8,1.57,2.35,1.57,1.2,2.25,1.4,1.4,1.1,1.5,0.541,0.25,0.263,0.637,0.833,0.382,0.3,-0.1,1,0.6495
30,USA - MLS,26/08/2023,23:30,Portland Timbers,Vancouver Whitecaps,2.25,3.4,3.1,1.6,2.3,1.5,1.2,2.5,1.4,1.0,1.0,1.9,0.444,0.294,0.323,0.625,0.833,0.184,0.4,-0.9,1,0.7396
